Alpha,CL
-5,-0.493221417
-4.75,-0.464095395
-4.5,-0.436276876
-4.25,-0.408308373
-4,-0.380666406
-3.75,-0.35186296
-3.5,-0.323407138
-3.25,-0.294800057
-3,-0.266155495
-2.75,-0.237467803
-2.5,-0.208644798
-2.25,-0.179806753
-2,-0.150892757
-1.75,-0.121919859
-1.5,-0.092921527
-1.25,-0.063873943
-1,-0.034793442
-0.75,-0.005652991
-0.5,0.023487656
-0.25,0.052633678
0,0.081795114
0.25,0.110893357
0.5,0.139977592
0.75,0.169095063
1,0.198163826
1.25,0.227296513
1.5,0.256346714
1.75,0.285374064
2,0.314330957
2.25,0.343207403
2.5,0.372010606
2.75,0.400783694
3,0.42951353
3.25,0.458116895
3.5,0.48671404
3.75,0.515208849
4,0.543969417
4.25,0.571725101
4.5,0.599817015
4.75,0.627760591
5,0.655451738
5.25,0.683315904
5.5,0.710758519
5.75,0.737908607
6,0.764933988
6.25,0.791634508
6.5,0.818025429
6.75,0.844016989
7,0.869413429
7.25,0.89434634
7.5,0.918473558
7.75,0.941821942
8,0.96455077
8.25,0.986147539
8.5,1.006756643
8.75,1.026387231
9,1.044520448
9.25,1.061095903
9.5,1.075930531
9.75,1.088941024
10,1.100510835
10.25,1.109264407
10.5,1.115681952
10.75,1.119374356
11,1.119316036
11.25,1.114574017
11.5,1.112116172
11.75,1.111478438
12,1.100729189
12.25,1.090038905
12.5,1.070527547
12.75,1.043435152
13,1.014406696
13.25,0.980922482
13.5,0.958896859
13.75,0.94418948
14,0.934438524
14.25,0.927886938
14.5,0.92417669
14.75,0.921482446
15,0.920477559
