Alpha,CL
-5,-0.533396655
-4.75,-0.504417245
-4.5,-0.47505151
-4.25,-0.445235771
-4,-0.414836215
-3.75,-0.384217295
-3.5,-0.3533455
-3.25,-0.322400755
-3,-0.291353034
-2.75,-0.260521935
-2.5,-0.229206691
-2.25,-0.197777222
-2,-0.166164533
-1.75,-0.134342969
-1.5,-0.102520531
-1.25,-0.070855973
-1,-0.03933897
-0.75,-0.00773515
-0.5,0.024040633
-0.25,0.056240646
0,0.088438756
0.25,0.120613745
0.5,0.152452013
0.75,0.184319506
1,0.216208739
1.25,0.248110752
1.5,0.27999077
1.75,0.311820035
2,0.3435042
2.25,0.375104846
2.5,0.406402217
2.75,0.43721249
3,0.468069795
3.25,0.498827223
3.5,0.529449085
3.75,0.559875877
4,0.589784641
4.25,0.619538979
4.5,0.64925573
4.75,0.678909398
5,0.708245193
5.25,0.73740523
5.5,0.766138513
5.75,0.794359508
6,0.822041612
6.25,0.849161184
6.5,0.87534133
6.75,0.900555252
7,0.925487755
7.25,0.949760311
7.5,0.973324453
7.75,0.996131391
8,1.018591081
8.25,1.041041392
8.5,1.061650032
8.75,1.080464258
9,1.097757468
9.25,1.113739592
9.5,1.127794654
9.75,1.139304642
10,1.14831598
10.25,1.154548144
10.5,1.156731894
10.75,1.156030497
11,1.150973796
11.25,1.139212852
11.5,1.121294708
11.75,1.085893041
12,1.031923884
12.25,0.959566762
12.5,0.859586
12.75,0.797147103
13,0.768717109
13.25,0.752424845
13.5,0.750557386
13.75,0.750910896
14,0.754907069
14.25,0.758434725
14.5,0.761989182
14.75,0.76869412
15,0.774200191
