BHF,DART_MeanMAE,SF-Kriging_MeanMAE,Co-Kriging_MeanMAE,HierarchicalKriging_MeanMAE,DART_logMeanMAE,SF-Kriging_logMeanMAE,Co-Kriging_logMeanMAE,HierarchicalKriging_logMeanMAE
40,7.53614872,31.09261143,11.64635498,12.3820725,0.87714946,1.492657199,1.066190023,1.092793343
41,7.53614872,30.59513658,11.57529826,12.31096941,0.87714946,1.485652396,1.06353219,1.090292252
42,7.503912817,30.21630202,11.64909084,12.36814497,0.87528778,1.480241313,1.066292032,1.092304567
43,7.503912817,29.74172703,11.57969604,12.30283684,0.87528778,1.473366183,1.06369716,1.090005264
44,7.479302419,29.32819505,11.69493913,12.36761157,0.873861094,1.467285336,1.067997966,1.092285837
45,7.479302419,29.07677594,11.65305925,12.32151331,0.873861094,1.46354625,1.066439955,1.09066405
46,7.409810334,28.70342602,11.66597066,12.31620843,0.869807092,1.457933737,1.06692088,1.09047703
47,7.409810334,28.37486868,11.66620074,12.28107006,0.869807092,1.45293386,1.066929445,1.089236209
48,7.385273636,28.20333406,11.7314271,12.33953032,0.868366591,1.450300452,1.069350846,1.09129863
49,7.385273636,27.79509287,11.79487917,12.40052428,0.868366591,1.443968129,1.071693496,1.093440047
50,7.328076371,27.58465969,11.81606026,12.41053746,0.864989987,1.44066763,1.072472697,1.09379059
51,7.328076371,27.31043242,11.85158929,12.45179585,0.864989987,1.436328577,1.073776593,1.095231992
52,7.279704061,27.04261241,11.86120022,12.45500979,0.862113724,1.432048644,1.074128637,1.095344073
53,7.279704061,26.88654378,11.86608414,12.46456914,0.862113724,1.429534978,1.074307424,1.095677271
54,7.247745567,26.67192871,11.93471445,12.51025632,0.860202939,1.426054422,1.076812033,1.097266208
55,7.247745567,26.36210865,11.88515837,12.45633547,0.860202939,1.420980146,1.075004973,1.095390296
56,7.206971285,26.03366732,11.85107559,12.42591518,0.857752792,1.415535351,1.073757768,1.094328385
57,7.206971285,25.80078843,11.78710119,12.37019964,0.857752792,1.411632978,1.071407012,1.092376709
58,7.193473865,25.52595953,11.75571568,12.35752918,0.85693867,1.406982076,1.070249074,1.091931644
59,7.193473865,25.2078154,11.73208419,12.33315803,0.85693867,1.40153521,1.069375171,1.091074296
60,7.144467852,24.94415423,11.72584142,12.3172024,0.853969886,1.396968783,1.069144016,1.090512078
61,7.144467852,24.76541174,11.70700408,12.30346826,0.853969886,1.393845553,1.06844577,1.090027553
62,7.106210604,24.53916377,11.73372939,12.333701,0.851638074,1.389859759,1.069436068,1.091093416
63,7.106210604,24.31909564,11.71178205,12.29749918,0.851638074,1.385947421,1.068622982,1.089816802
64,7.033075634,24.11238874,11.69054435,12.27094953,0.847145288,1.382240237,1.067834734,1.08887817
65,7.033075634,23.88216453,11.64440212,12.22819709,0.847145288,1.378073686,1.066117195,1.08736243
66,7.018892975,23.7317069,11.61955076,12.20676905,0.84626862,1.375328976,1.065189337,1.086600728
67,7.018892975,23.46025307,11.65563892,12.23493089,0.84626862,1.370332693,1.066536085,1.08760152
68,7.010909482,23.30815896,11.61228766,12.20186482,0.84577436,1.367507971,1.064917786,1.086426209
