Ma,alpha,CA_p
0.3,-5,-0.036610127
0.3,-4,-0.019597746
0.3,-3,-0.006385507
0.3,-2,0.002585192
0.3,-1,0.007352475
0.3,0,0.007989823
0.3,1,0.005181727
0.3,2,-0.001842789
0.3,3,-0.014595543
0.3,4,-0.03044569
0.3,5,-0.049021081
0.3,6,-0.071673158
0.3,7,-0.097015571
0.3,7.5,-0.110819917
0.3,8,-0.125836459
0.3,8.5,-0.141159179
0.3,9,-0.156952387
0.3,9.5,-0.172267114
0.3,10,-0.187677286
0.3,10.5,-0.203779755
0.3,11,-0.217019057
0.3,11.5,-0.228627822
0.3,12,-0.238653145
0.3,12.5,-0.237510367
0.3,13,-0.208980485
0.3,13.5,-0.192287774
0.3,14,-0.185399592
0.3,14.5,-0.183885905
0.3,15,-0.185245261
0.3,16,-0.091439761
0.3,17,0.002365739
0.3,18,-0.00261104
0.3,19,-0.002405117
0.3,20,-0.007619314
0.3,21,0.020051327
0.3,22,0.040421101
0.3,23,0.024670963
0.3,24,0.008374946
0.3,25,-0.000417344
0.4,-5,-0.039398747
0.4,-4,-0.021491792
0.4,-3,-0.007496201
0.4,-2,0.002124854
0.4,-1,0.007304952
0.4,0,0.007932254
0.4,1,0.005010345
0.4,2,-0.002227153
0.4,3,-0.014833227
0.4,4,-0.031786465
0.4,5,-0.051613491
0.4,6,-0.074404334
0.4,7,-0.101370862
0.4,7.5,-0.115757886
0.4,8,-0.130888387
0.4,8.5,-0.145974496
0.4,9,-0.161489241
0.4,9.5,-0.176818712
0.4,10,-0.1913469
0.4,10.5,-0.203885455
0.4,11,-0.214168697
0.4,11.5,-0.218629391
0.4,12,-0.207296146
0.4,12.5,-0.191102676
0.4,13,-0.18388308
0.4,13.5,-0.184920097
0.4,14,-0.191988581
0.4,14.5,-0.100383739
0.4,15,-0.008778897
0.4,16,-0.002066164
0.4,17,0.009652488
0.4,18,0.020296836
0.4,19,-0.016801557
0.4,20,-0.002692446
0.4,21,-0.12280918
0.4,22,-0.160745743
0.4,23,-0.151714234
0.4,24,-0.006571801
0.4,25,-0.016073707
0.5,-5,-0.042532521
0.5,-4,-0.023361903
0.5,-3,-0.008560875
0.5,-2,0.001654996
0.5,-1,0.007263165
0.5,0,0.008003945
0.5,1,0.004755378
0.5,2,-0.002905097
0.5,3,-0.01623184
0.5,4,-0.034013675
0.5,5,-0.055570559
0.5,6,-0.079562808
0.5,7,-0.104344515
0.5,7.5,-0.115985348
0.5,8,-0.125603233
0.5,8.5,-0.132252599
0.5,9,-0.13612761
0.5,9.5,-0.135209867
0.5,10,-0.137853764
0.5,10.5,-0.133556406
0.5,11,-0.13357314
0.5,11.5,-0.1382273
0.5,12,-0.146009105
0.5,12.5,-0.157258816
0.5,13,-0.163381085
0.5,13.5,-0.12462941
0.5,14,-0.03205399
0.5,14.5,-0.044443544
0.5,15,-0.049636832
0.5,16,-0.1033164
0.5,17,-0.152761562
0.5,18,-0.136458385
0.5,19,-0.143419443
0.5,20,-0.11240018
0.5,21,-0.153265114
0.5,22,-0.167064904
0.5,23,-0.180864694
0.5,24,-0.026031122
0.5,25,-0.059730266
