alpha,CA_p
-5,-0.042532521
-4,-0.023361903
-3,-0.008560875
-2,0.001654996
-1,0.007263165
0,0.008003945
1,0.004755378
2,-0.002905097
3,-0.01623184
4,-0.034013675
5,-0.055570559
6,-0.079562808
7,-0.104344515
7.5,-0.115985348
8,-0.125603233
8.5,-0.132252599
9,-0.13612761
9.5,-0.135209867
10,-0.137853764
10.5,-0.133556406
11,-0.13357314
11.5,-0.1382273
12,-0.146009105
12.5,-0.157258816
13,-0.163381085
13.5,-0.12462941
14,-0.03205399
14.5,-0.044443544
15,-0.049636832
16,-0.1033164
17,-0.152761562
18,-0.136458385
19,-0.143419443
20,-0.11240018
21,-0.153265114
22,-0.167064904
23,-0.180864694
24,-0.026031122
25,-0.059730266
