Ma,alpha,CA（翼型原始）
0.3,-5,-0.036904802
0.3,-4,-0.020908591
0.3,-3,-0.008257421
0.3,-2,0.000324651
0.3,-1,0.004745845
0.3,0,0.005162798
0.3,1,0.001646003
0.3,2,-0.005469973
0.3,3,-0.0165754
0.3,4,-0.031853791
0.3,5,-0.051451043
0.3,6,-0.075239906
0.3,7,-0.10188988
0.3,7.5,-0.116444806
0.3,8,-0.132329858
0.3,8.5,-0.148254279
0.3,9,-0.165002388
0.3,9.5,-0.1811247
0.3,10,-0.197219966
0.3,10.5,-0.2138815
0.3,11,-0.226242495
0.3,11.5,-0.236679262
0.3,12,-0.24222497
0.3,12.5,-0.23299912
0.3,13,-0.167195088
0.3,13.5,-0.123356954
0.3,14,-0.097951646
0.3,14.5,-0.084222498
0.3,15,-0.078938785
0.3,16,-0.055836544
0.3,17,-0.032734303
0.3,18,-0.036612474
0.3,19,-0.035177233
0.3,20,-0.033683733
0.3,21,0.036605784
0.3,22,0.031464889
0.3,23,0.025744384
0.3,24,0.023070837
0.3,25,0.021893319
0.4,-5,-0.039337508
0.4,-4,-0.0222847
0.4,-3,-0.00913285
0.4,-2,-0.000179223
0.4,-1,0.004660715
0.4,0,0.005314177
0.4,1,0.001840142
0.4,2,-0.005509122
0.4,3,-0.016744923
0.4,4,-0.032555303
0.4,5,-0.052660974
0.4,6,-0.076660254
0.4,7,-0.104549386
0.4,7.5,-0.119308906
0.4,8,-0.134645465
0.4,8.5,-0.149952812
0.4,9,-0.165674965
0.4,9.5,-0.180504523
0.4,10,-0.19408449
0.4,10.5,-0.205121774
0.4,11,-0.212112767
0.4,11.5,-0.208395078
0.4,12,-0.175544695
0.4,12.5,-0.129319137
0.4,13,-0.10029468
0.4,13.5,-0.086118242
0.4,14,-0.083445141
0.4,14.5,-0.058263154
0.4,15,-0.033081167
0.4,16,-0.037587451
0.4,17,-0.027991329
0.4,18,-0.029217983
0.4,19,-0.028956564
0.4,20,-0.028504137
0.4,21,-0.026334853
0.4,22,-0.017849113
0.4,23,0.005820914
0.4,24,-0.004591051
0.4,25,0.020239051
0.5,-5,-0.042274139
0.5,-4,-0.024184392
0.5,-3,-0.010090603
0.5,-2,-0.000471117
0.5,-1,0.00476925
0.5,0,0.005520881
0.5,1,0.001857013
0.5,2,-0.005814653
0.5,3,-0.017901141
0.5,4,-0.034722749
0.5,5,-0.055769291
0.5,6,-0.079818034
0.5,7,-0.100965305
0.5,7.5,-0.109047776
0.5,8,-0.1139401
0.5,8.5,-0.114595609
0.5,9,-0.1106367
0.5,9.5,-0.101662329
0.5,10,-0.098532945
0.5,10.5,-0.083182855
0.5,11,-0.078559079
0.5,11.5,-0.079604504
0.5,12,-0.085790231
0.5,12.5,-0.095505377
0.5,13,-0.10059541
0.5,13.5,-0.083891653
0.5,14,-0.044545529
0.5,14.5,-0.056579943
0.5,15,-0.065673248
0.5,16,-0.051832718
0.5,17,-0.056366546
0.5,18,-0.059427896
0.5,19,-0.03007688
0.5,20,-0.005551033
0.5,21,-0.003840707
0.5,22,-0.004974896
0.5,23,-0.006109085
0.5,24,0.006071963
0.5,25,0.018318525
