alpha,CA（翼型原始）
-5,-0.036904802
-4,-0.020908591
-3,-0.008257421
-2,0.000324651
-1,0.004745845
0,0.005162798
1,0.001646003
2,-0.005469973
3,-0.0165754
4,-0.031853791
5,-0.051451043
6,-0.075239906
7,-0.10188988
7.5,-0.116444806
8,-0.132329858
8.5,-0.148254279
9,-0.165002388
9.5,-0.1811247
10,-0.197219966
10.5,-0.2138815
11,-0.226242495
11.5,-0.236679262
12,-0.24222497
12.5,-0.23299912
13,-0.167195088
13.5,-0.123356954
14,-0.097951646
14.5,-0.084222498
15,-0.078938785
16,-0.055836544
17,-0.032734303
18,-0.036612474
19,-0.035177233
20,-0.033683733
21,0.036605784
22,0.031464889
23,0.025744384
24,0.023070837
25,0.021893319
