Ma,alpha,CD_p
0.3,-5,0.007746682
0.3,-4,0.006758387
0.3,-3,0.006322619
0.3,-2,0.005890371
0.3,-1,0.005503389
0.3,0,0.005162798
0.3,1,0.004876368
0.3,2,0.005064921
0.3,3,0.005190712
0.3,4,0.00516604
0.3,5,0.00478497
0.3,6,0.004152956
0.3,7,0.003552665
0.3,7.5,0.003226192
0.3,8,0.002677607
0.3,8.5,0.002276365
0.3,9,0.001893273
0.3,9.5,0.001939358
0.3,10,0.002157815
0.3,10.5,0.002478443
0.3,11,0.004666995
0.3,11.5,0.007602309
0.3,12,0.013356672
0.3,12.5,0.02372069
0.3,13,0.062330055
0.3,13.5,0.090801829
0.3,14,0.111684669
0.3,14.5,0.127261378
0.3,15,0.141044313
0.3,16,0.1785060465
0.3,17,0.21596778
0.3,18,0.214278883
0.3,19,0.222915337
0.3,20,0.238382867
0.3,21,0.321266871
0.3,22,0.332168786
0.3,23,0.353244506
0.3,24,0.379888741
0.3,25,0.398103648
0.4,-5,0.00795903
0.4,-4,0.007033734
0.4,-3,0.006391155
0.4,-2,0.005890582
0.4,-1,0.00556979
0.4,0,0.005314177
0.4,1,0.005125228
0.4,2,0.005296604
0.4,3,0.005628632
0.4,4,0.005740129
0.4,5,0.005484254
0.4,6,0.005190446
0.4,7,0.004941668
0.4,7.5,0.00488368
0.4,8,0.005021583
0.4,8.5,0.005078375
0.4,9,0.005426227
0.4,9.5,0.006617113
0.4,10,0.00838425
0.4,10.5,0.011034165
0.4,11,0.015823321
0.4,11.5,0.025469396
0.4,12,0.048080524
0.4,12.5,0.078657155
0.4,13,0.100836113
0.4,13.5,0.117752179
0.4,14,0.131578786
0.4,14.5,0.1662570085
0.4,15,0.200935231
0.4,16,0.207684585
0.4,17,0.211134318
0.4,18,0.217105636
0.4,19,0.2327616
0.4,20,0.246309925
0.4,21,0.334616286
0.4,22,0.381816094
0.4,23,0.382344239
0.4,24,0.360341713
0.4,25,0.415300042
0.5,-5,0.00819712
0.5,-4,0.007163138
0.5,-3,0.006549801
0.5,-2,0.006048288
0.5,-1,0.005747966
0.5,0,0.005520881
0.5,1,0.005368934
0.5,2,0.005670255
0.5,3,0.006063099
0.5,4,0.006142651
0.5,5,0.006522533
0.5,6,0.007128076
0.5,7,0.011736165
0.5,7.5,0.015888427
0.5,8,0.021402189
0.5,8.5,0.028947568
0.5,9,0.038720028
0.5,9.5,0.050451646
0.5,10,0.061331003
0.5,10.5,0.078841935
0.5,11,0.090268923
0.5,11.5,0.100919449
0.5,12,0.111534527
0.5,12.5,0.120295577
0.5,13,0.130277967
0.5,13.5,0.156888462
0.5,14,0.183285003
0.5,14.5,0.191264583
0.5,15,0.201542268
0.5,16,0.23003922
0.5,17,0.248382963
0.5,18,0.250434595
0.5,19,0.304162682
0.5,20,0.346782522
0.5,21,0.36556811
0.5,22,0.3772262695
0.5,23,0.388884429
0.5,24,0.393161026
0.5,25,0.447189066
