alpha,CD_p
-5,0.00819712
-4,0.007163138
-3,0.006549801
-2,0.006048288
-1,0.005747966
0,0.005520881
1,0.005368934
2,0.005670255
3,0.006063099
4,0.006142651
5,0.006522533
6,0.007128076
7,0.011736165
7.5,0.015888427
8,0.021402189
8.5,0.028947568
9,0.038720028
9.5,0.050451646
10,0.061331003
10.5,0.078841935
11,0.090268923
11.5,0.100919449
12,0.111534527
12.5,0.120295577
13,0.130277967
13.5,0.156888462
14,0.183285003
14.5,0.191264583
15,0.201542268
16,0.23003922
17,0.248382963
18,0.250434595
19,0.304162682
20,0.346782522
21,0.36556811
22,0.3772262695
23,0.388884429
24,0.393161026
25,0.447189066
