Ma,alpha,CD（尾耙原始）
0.3,-5,0.009744785
0.3,-4,0.009365663
0.3,-3,0.009231657
0.3,-2,0.008768524
0.3,-1,0.008814211
0.3,0,0.008748655
0.3,1,0.009232447
0.3,2,0.009682559
0.3,3,0.008344574
0.3,4,0.008137975
0.3,5,0.009089635
0.3,6,0.010081851
0.3,7,0.011469715
0.3,7.5,0.012316381
0.3,8,0.013220186
0.3,8.5,0.014150917
0.3,9,0.015519909
0.3,9.5,0.01749068
0.3,10,0.019885946
0.3,10.5,0.022751446
0.3,11,0.026700613
0.3,11.5,0.032338208
0.3,12,0.039318841
0.3,12.5,0.051140428
0.3,13,0.085756525
0.3,13.5,0.11280144
0.3,14,0.132942407
0.3,14.5,0.149916578
0.3,15,0.165959598
0.3,16,0.23182509
0.3,17,0.297690582
0.3,18,0.299962723
0.3,19,0.317108525
0.3,20,0.334890724
0.3,21,0.373267591
0.3,22,0.436794532
0.3,23,0.450026763
0.3,24,0.467431714
0.3,25,0.488485664
0.4,-5,0.009825524
0.4,-4,0.009260211
0.4,-3,0.009141561
0.4,-2,0.009175255
0.4,-1,0.009141624
0.4,0,0.008865754
0.4,1,0.009312948
0.4,2,0.009695574
0.4,3,0.008861708
0.4,4,0.008318594
0.4,5,0.008577751
0.4,6,0.010031509
0.4,7,0.011533
0.4,7.5,0.01244832
0.4,8,0.013732597
0.4,8.5,0.014825993
0.4,9,0.016697918
0.4,9.5,0.022572875
0.4,10,0.02695975
0.4,10.5,0.032851282
0.4,11,0.042662665
0.4,11.5,0.043037539
0.4,12,0.062408418
0.4,12.5,0.090202133
0.4,13,0.110609078
0.4,13.5,0.126794728
0.4,14,0.13944105
0.4,14.5,0.2190002355
0.4,15,0.298559421
0.4,16,0.288439837
0.4,17,0.297413279
0.4,18,0.320572026
0.4,19,0.309059384
0.4,20,0.409289981
0.4,21,0.462519743
0.4,22,0.529211146
0.4,23,0.57817537
0.4,24,0.469757209
0.4,25,0.500294506
0.5,-5,0.010171222
0.5,-4,0.009613124
0.5,-3,0.009307432
0.5,-2,0.009203106
0.5,-1,0.009188501
0.5,0,0.008968445
0.5,1,0.009327358
0.5,2,0.009806039
0.5,3,0.009188612
0.5,4,0.008657498
0.5,5,0.009023509
0.5,6,0.011066905
0.5,7,0.016526644
0.5,7.5,0.020973707
0.5,8,0.026863061
0.5,8.5,0.034861525
0.5,9,0.044618954
0.5,9.5,0.057307193
0.5,10,0.067280556
0.5,10.5,0.084340394
0.5,11,0.096331625
0.5,11.5,0.104878523
0.5,12,0.11006658
0.5,12.5,0.113200941
0.5,13,0.120426486
0.5,13.5,0.167806293
0.5,14,0.24806549
0.5,14.5,0.247914409
0.5,15,0.261177256
0.5,16,0.228439928
0.5,17,0.213914951
0.5,18,0.243479247
0.5,19,0.273235183
0.5,20,0.333012166
0.5,21,0.322558408
0.5,22,0.3349347255
0.5,23,0.347311043
0.5,24,0.493518399
0.5,25,0.518602839
