alpha,CD（尾耙原始）
-5,0.010171222
-4,0.009613124
-3,0.009307432
-2,0.009203106
-1,0.009188501
0,0.008968445
1,0.009327358
2,0.009806039
3,0.009188612
4,0.008657498
5,0.009023509
6,0.011066905
7,0.016526644
7.5,0.020973707
8,0.026863061
8.5,0.034861525
9,0.044618954
9.5,0.057307193
10,0.067280556
10.5,0.084340394
11,0.096331625
11.5,0.104878523
12,0.11006658
12.5,0.113200941
13,0.120426486
13.5,0.167806293
14,0.24806549
14.5,0.247914409
15,0.261177256
16,0.228439928
17,0.213914951
18,0.243479247
19,0.273235183
20,0.333012166
21,0.322558408
22,0.3349347255
23,0.347311043
24,0.493518399
25,0.518602839
