alpha,CL
-5,-0.511954422
-4,-0.396294919
-3,-0.278321995
-2,-0.159296786
-1,-0.043312737
0,0.071692871
1,0.184991415
2,0.301648765
3,0.415652573
4,0.53042238
5,0.644815182
6,0.758942953
7,0.864398437
7.5,0.915889474
8,0.968977727
8.5,1.01719253
9,1.065464405
9.5,1.10753605
10,1.146325032
10.5,1.185185842
11,1.207951102
11.5,1.222909432
12,1.227133337
12.5,1.184482197
13,1.022631763
13.5,0.922727366
14,0.873987856
14.5,0.853415652
15,0.858894725
16,0.8334962495
17,0.808097774
18,0.767456026
19,0.744772343
20,0.744521635
21,0.74071559
22,0.73479705
23,0.766723602
24,0.802499633
25,0.811360914
