alpha,CL_p
-5,-0.511980104
-4,-0.396386359
-3,-0.278419964
-2,-0.159375677
-1,-0.043358229
0,0.071692871
1,0.185053122
2,0.301775352
3,0.41575619
4,0.530520605
5,0.645026967
6,0.75931578
7,0.864992466
7.5,0.916623669
8,0.969881434
8.5,1.018241252
9,1.066723703
9.5,1.108997973
10,1.147982101
10.5,1.187026738
11,1.209711017
11.5,1.224514631
12,1.227875961
12.5,1.183505785
13,1.013232094
13.5,0.906635785
14,0.852832283
14.5,0.828461928
15,0.831380584
16,0.8248703085
17,0.818360033
18,0.777963047
19,0.755441901
20,0.753436191
21,0.734783003
22,0.738152106
23,0.766304183
24,0.796522275
25,0.80193202
