alpha,CM（翼型原始）
-5,-0.023432284
-4,-0.018767247
-3,-0.015593719
-2,-0.013328415
-1,-0.01145546
0,-0.009879394
1,-0.008512989
2,-0.007114466
3,-0.005496988
4,-0.003099566
5,-0.002048993
6,0.004519927
7,0.012823678
7.5,0.01663941
8,0.019741202
8.5,0.018691064
9,0.010842161
9.5,-0.002207195
10,-0.012201692
10.5,-0.032738461
11,-0.042369983
11.5,-0.044312033
12,-0.033700851
12.5,-0.01927953
13,-0.013778556
13.5,-0.052853251
14,-0.117007266
14.5,-0.104960013
15,-0.104024003
16,-0.108419774
17,-0.096462961
18,-0.097217262
19,-0.106732562
20,-0.119855983
21,-0.123369414
22,-0.1238153285
23,-0.124261243
24,-0.128681442
25,-0.150657287
