alpha,CN（翼型原始）
-5,-0.540949403
-4,-0.419518762
-3,-0.296383018
-2,-0.173919304
-1,-0.052129501
0,0.067470386
1,0.188247168
2,0.309527983
3,0.427060248
4,0.547850652
5,0.664842441
6,0.779029417
7,0.892035321
7.5,0.94365644
8,0.994133826
8.5,1.037715287
9,1.080717461
9.5,1.118744641
10,1.148990812
10.5,1.16728698
11,1.174153128
11.5,1.152045246
12,1.057127403
12.5,0.946734787
13,0.882682001
13.5,0.863118308
14,0.878569711
14.5,0.8891922125
15,0.899814714
16,0.884553405
17,0.813698983
18,0.7924923
19,0.799035671
20,0.798476517
21,1.002327327
22,1.06342363
23,0.964822179
24,0.896245406
25,0.939280831
