Ma,alpha,CA_p
0.3,-5,-0.0267230611479954
0.3,-4,-0.0134463455876682
0.3,-3,-0.00332312769091728
0.3,-2,0.00357591365810641
0.3,-1,0.00726663850193657
0.3,0,0.00790462086046414
0.3,1,0.00612303855686687
0.3,2,0.00115342392984232
0.3,3,-0.00868199844548248
0.3,4,-0.0207384550866228
0.3,5,-0.0350269014453174
0.3,6,-0.0526157381362265
0.3,7,-0.072500834749883
0.3,7.5,-0.0837753877304672
0.3,8,-0.095865897191722
0.3,8.5,-0.10840026451438
0.3,9,-0.121786927925276
0.3,9.5,-0.135116741197618
0.3,10,-0.148950310680364
0.3,10.5,-0.164298111496688
0.3,11,-0.178424177302085
0.3,11.5,-0.192192900298775
0.3,12,-0.208563059284319
0.3,12.5,-0.221631001797418
0.3,13,-0.235896297384047
0.3,13.5,-0.249668942088651
0.3,14,-0.262054038273965
0.3,14.5,-0.271729067440159
0.3,15,-0.277543279877666
0.3,16,-0.0153553198548841
0.3,17,0.00282270407426577
0.3,18,-0.000241035774301124
0.3,19,0.00140570582773429
0.3,20,-0.00275464658957601
0.3,21,0.022921090156544
0.3,22,0.0444965430407516
0.3,23,0.0304060253188262
0.3,24,0.0127973992461411
0.3,25,0.00273103989633181
0.4,-5,-0.0288193004301793
0.4,-4,-0.0149821561822087
0.4,-3,-0.00415246871041574
0.4,-2,0.00329315568342423
0.4,-1,0.00732315802634424
0.4,0,0.00793225420627833
0.4,1,0.00611220666070953
0.4,2,0.0010440940552762
0.4,3,-0.00851572612622785
0.4,4,-0.0214556381228239
0.4,5,-0.0364723733076543
0.4,6,-0.0541216584115408
0.4,7,-0.0753681560987051
0.4,7.5,-0.0870791556368609
0.4,8,-0.0994359834167211
0.4,8.5,-0.112126028766171
0.4,9,-0.125616444035886
0.4,9.5,-0.139618341897816
0.4,10,-0.154046774709198
0.4,10.5,-0.168332128530509
0.4,11,-0.182795563441781
0.4,11.5,-0.19818678875225
0.4,12,-0.214069496512281
0.4,12.5,-0.230064027940128
0.4,13,-0.246553280570887
0.4,13.5,-0.261544249520792
0.4,14,-0.271367203580371
0.4,14.5,-0.0116278423717522
0.4,15,-0.0131456344303879
0.4,16,-0.00141092224585567
0.4,17,0.0119228793678102
0.4,18,0.0236340505745714
0.4,19,-0.0128349813144952
0.4,20,0.00106499804435481
0.4,21,-0.119956785997166
0.4,22,-0.156449452087273
0.4,23,-0.147595015114236
0.4,24,-0.00321756036891322
0.4,25,-0.0134076802174852
0.5,-5,-0.0308429191985018
0.5,-4,-0.0160675819172423
0.5,-3,-0.00476495914141522
0.5,-2,0.00299388023997957
0.5,-1,0.0072895725931956
0.5,0,0.00800394539647066
0.5,1,0.00600743551429586
0.5,2,0.000747794101420055
0.5,3,-0.00905110054204684
0.5,4,-0.0222423055369113
0.5,5,-0.0383426944495808
0.5,6,-0.056699196542729
0.5,7,-0.0781937717353724
0.5,7.5,-0.0900521358784836
0.5,8,-0.102201467165106
0.5,8.5,-0.113862755645109
0.5,9,-0.125406611696639
0.5,9.5,-0.135513839708284
0.5,10,-0.144023094813674
0.5,10.5,-0.150228785813914
0.5,11,-0.156177618622203
0.5,11.5,-0.162261675721735
0.5,12,-0.166152517785364
0.5,12.5,-0.174461482766367
0.5,13,-0.178088444155513
0.5,13.5,-0.1341044857082
0.5,14,-0.0374041992778123
0.5,14.5,-0.0456413573972438
0.5,15,-0.0494486825429314
0.5,16,-0.102514089974167
0.5,17,-0.149529533987248
0.5,18,-0.132560264996396
0.5,19,-0.138340941492453
0.5,20,-0.108161238030532
0.5,21,-0.1475709874237
0.5,22,-0.180225308151455
0.5,23,-0.175528159916656
0.5,24,-0.0205736949956404
0.5,25,-0.0540526997579085
