alpha,CA_p
-5,0.0215230798894236
-4.5,0.0188126092551662
-4,0.0138108178256015
-3.5,0.0105093146769525
-3,0.0105538589822112
-2.5,0.0110624431733628
-2,0.0112501649265093
-1.5,0.0113377757954638
-1,0.011292693457759
-0.5,0.0106107653130434
0,0.00962605750140276
0.5,0.00874272829095432
1,0.00823519703701926
1.5,0.00675568118212436
2,0.0051680526645832
2.5,0.00268832452757796
3,5.68776879489472e-05
3.5,-0.00227102088712734
4,-0.00348326817315159
4.5,-0.00347069785887196
5,-0.00284455606944216
