Ma,alpha,CA（翼型原始）
0.3,-5,-0.0227875497342517
0.3,-4,-0.0122469712691681
0.3,-3,-0.00401368562987879
0.3,-2,0.0016727565286403
0.3,-1,0.00485880195603612
0.3,0,0.00576565474898934
0.3,1,0.0044114812722837
0.3,2,0.00120690721472169
0.3,3,-0.00439314761670383
0.3,4,-0.0127609188561423
0.3,5,-0.024363231977943
0.3,6,-0.0387442372212108
0.3,7,-0.0552309128384539
0.3,7.5,-0.0647725300756559
0.3,8,-0.0750581491412278
0.3,8.5,-0.0857909726222859
0.3,9,-0.0975051263829891
0.3,9.5,-0.109341290988052
0.3,10,-0.121892872020853
0.3,10.5,-0.136153790820365
0.3,11,-0.148914706245242
0.3,11.5,-0.162178549845772
0.3,12,-0.177358845405801
0.3,12.5,-0.190543185356207
0.3,13,-0.203186726398258
0.3,13.5,-0.215417707306441
0.3,14,-0.227078334165073
0.3,14.5,-0.237463231639728
0.3,15,-0.245269637893925
0.3,16,-0.0531063364962372
0.3,17,-0.043153969751557
0.3,18,-0.0451287753215133
0.3,19,-0.0443278075938182
0.3,20,-0.0442096847081222
0.3,21,0.0227529817057601
0.3,22,0.0185243319742388
0.3,23,0.0202216270413529
0.3,24,0.0199026367769447
0.3,25,0.0193292102354529
0.4,-5,-0.0241565800482322
0.4,-4,-0.0130547335615821
0.4,-3,-0.00449256548302222
0.4,-2,0.00141614828455126
0.4,-1,0.00485897615783131
0.4,0,0.0059425393711797
0.4,1,0.00473668891813094
0.4,2,0.00145339699913051
0.4,3,-0.00417315471068672
0.4,4,-0.0126885519411299
0.4,5,-0.0240696433206514
0.4,6,-0.0386024719673654
0.4,7,-0.0560650989154831
0.4,7.5,-0.0657980392144912
0.4,8,-0.0760395125326757
0.4,8.5,-0.0867971412427233
0.4,9,-0.098456898658579
0.4,9.5,-0.110336800358963
0.4,10,-0.122791690311877
0.4,10.5,-0.135416739729008
0.4,11,-0.148085828083871
0.4,11.5,-0.161688869781913
0.4,12,-0.175383198378781
0.4,12.5,-0.189050621018142
0.4,13,-0.202382523441489
0.4,13.5,-0.215539732699294
0.4,14,-0.224054702760597
0.4,14.5,-0.0574619909192404
0.4,15,-0.0541907683288695
0.4,16,-0.0486830491877013
0.4,17,-0.0366941874624647
0.4,18,-0.037171511511546
0.4,19,-0.0377744874111497
0.4,20,-0.0389490878590055
0.4,21,-0.0368338017464986
0.4,22,-0.0242575027602842
0.4,23,0.00153269573077926
0.4,24,-0.00772964382995121
0.4,25,0.0175320211436837
0.5,-5,-0.0254006991940332
0.5,-4,-0.0137949999803334
0.5,-3,-0.00480560547424263
0.5,-2,0.0013592671640065
0.5,-1,0.004998749774328
0.5,0,0.00618649831007793
0.5,1,0.00500394409445689
0.5,2,0.00169915193784373
0.5,3,-0.00409276656257209
0.5,4,-0.0128324289365893
0.5,5,-0.0244146014565314
0.5,6,-0.0390413431562653
0.5,7,-0.0563726414784389
0.5,7.5,-0.0658093382190099
0.5,8,-0.075434031557701
0.5,8.5,-0.084863299558658
0.5,9,-0.0940346043127022
0.5,9.5,-0.10215624121999
0.5,10,-0.109289989267207
0.5,10.5,-0.11449327620152
0.5,11,-0.119053570541554
0.5,11.5,-0.124152596301359
0.5,12,-0.12630064484443
0.5,12.5,-0.13206458198058
0.5,13,-0.134607677294655
0.5,13.5,-0.11125108657135
0.5,14,-0.0669504999901485
0.5,14.5,-0.0701316483497741
0.5,15,-0.0758342398763926
0.5,16,-0.0597286659533099
0.5,17,-0.0644124643961121
0.5,18,-0.0680062616635849
0.5,19,-0.0398754491610972
0.5,20,-0.0150860908552207
0.5,21,-0.0104553089607653
0.5,22,-0.0293608628234063
0.5,23,-0.0100373948567779
0.5,24,0.0026102588089987
0.5,25,0.0152177659213352
