alpha,CA（翼型原始）
-5,0.0562122392788965
-4.5,0.0572794930172343
-4,0.0584426939816486
-3.5,0.0594464315179659
-3,0.0604502029538793
-2.5,0.0612581371404964
-2,0.0619434794140523
-1.5,0.0629544863410519
-1,0.0644480301644172
-0.5,0.0570886616080248
0,0.0569843193157778
0.5,0.0622448059339766
1,0.0615826925301592
1.5,0.0607866899842104
2,0.0599592164763045
2.5,0.0583078318620836
3,0.0541878991508199
3.5,0.0507110694325466
4,0.049727661623506
4.5,0.0500158407116299
5,0.0506160485638771
