Ma,alpha,CD_p
0.3,-5,0.0119566511677775
0.3,-4,0.00924555238902669
0.3,-3,0.00744883104254641
0.3,-2,0.0061972611673842
0.3,-1,0.00563168034742535
0.3,0,0.00576565474898934
0.3,1,0.00660027151525856
0.3,2,0.00863832768248084
0.3,3,0.011302846012803
0.3,4,0.014402629249791
0.3,5,0.017674543682504
0.3,6,0.0213417556715981
0.3,7,0.0253949026670185
0.3,7.5,0.0274898781107972
0.3,8,0.0295232315558581
0.3,8.5,0.0314669806100569
0.3,9,0.0336264989962513
0.3,9.5,0.0358738783520876
0.3,10,0.0379272342559435
0.3,10.5,0.0398479497542399
0.3,11,0.0424893694882069
0.3,11.5,0.044694135597147
0.3,12,0.0471807540226509
0.3,12.5,0.0493169920047346
0.3,13,0.0531912612570493
0.3,13.5,0.0567792163012667
0.3,14,0.060389185936001
0.3,14.5,0.063576413334815
0.3,15,0.0690038531129562
0.3,16,0.191182337369479
0.3,17,0.204725834373087
0.3,18,0.203516987837261
0.3,19,0.210168644437124
0.3,20,0.223490233661485
0.3,21,0.305442815085722
0.3,22,0.315860872292841
0.3,23,0.342609025751122
0.3,24,0.372525154561204
0.3,25,0.39224282768664
0.4,-5,0.0125430010468918
0.4,-4,0.00974743820879035
0.4,-3,0.00768593037880346
0.4,-2,0.00631739140189343
0.4,-1,0.00574981772660031
0.4,0,0.0059425393711797
0.4,1,0.00691963992580061
0.4,2,0.00898562809859466
0.4,3,0.0118743277953638
0.4,4,0.015252824388407
0.4,5,0.0188832844242144
0.4,6,0.0228681795083432
0.4,7,0.0272556750755288
0.4,7.5,0.0295033737938549
0.4,8,0.0319108748310196
0.4,8.5,0.0340636644660399
0.4,9,0.036385584046496
0.4,9.5,0.039132337895581
0.4,10,0.0418604992520535
0.4,10.5,0.0446139999096229
0.4,11,0.0478771842579565
0.4,11.5,0.0512057517058082
0.4,12,0.0548638280560899
0.4,12.5,0.0583793579688912
0.4,13,0.0624287415042346
0.4,13.5,0.0664136363799101
0.4,14,0.0721666675866773
0.4,14.5,0.173840199380184
0.4,15,0.184762866531911
0.4,16,0.196388952337062
0.4,17,0.200640547015216
0.4,18,0.206367500388441
0.4,19,0.220673617906492
0.4,20,0.232964039808431
0.4,21,0.322151733640308
0.4,22,0.371890886889242
0.4,23,0.374605151428283
0.4,24,0.354410215615757
0.4,25,0.410430398319023
0.5,-5,0.0133612324997095
0.5,-4,0.0102506699767914
0.5,-3,0.00803684167512321
0.5,-2,0.00653948886417494
0.5,-1,0.00595102718065309
0.5,0,0.00618649831007793
0.5,1,0.00726351922013172
0.5,2,0.00952881693915935
0.5,3,0.0126816504732074
0.5,4,0.0162369527945772
0.5,5,0.0205956017213069
0.5,6,0.0249430263684379
0.5,7,0.0300406230889324
0.5,7.5,0.0330456045575534
0.5,8,0.0363594981467187
0.5,8.5,0.0401654474754209
0.5,9,0.0445287196199087
0.5,9.5,0.0502643116490797
0.5,10,0.056812987317367
0.5,10.5,0.0644490087486991
0.5,11,0.0727075997885333
0.5,11.5,0.0808175517779547
0.5,12,0.0916125936284421
0.5,12.5,0.101397865656232
0.5,13,0.111467843266428
0.5,13.5,0.139498250812365
0.5,14,0.166736840329075
0.5,14.5,0.179304192063481
0.5,15,0.19154576444111
0.5,16,0.221677917726914
0.5,17,0.237597809655067
0.5,18,0.238568752687179
0.5,19,0.290096135084677
0.5,20,0.333839194948249
0.5,21,0.35407692155768
0.5,22,0.383771047263308
0.5,23,0.380356095477741
0.5,24,0.385012995120548
0.5,25,0.439233201862056
