alpha,CD_p
-5,0.0799485334621181
-4.5,0.0727206743170196
-4,0.0657018687570191
-3.5,0.0590282684877381
-3,0.0529201076060227
-2.5,0.0479025316938857
-2,0.0443150295920117
-1.5,0.0415699736671067
-1,0.0388428507968209
-0.5,0.0366911626211439
0,0.0360696050900923
0.5,0.0362804763940295
1,0.0373184062826405
1.5,0.0394040348074415
2,0.0428272394222255
2.5,0.0474756508133976
3,0.0530901725927003
3.5,0.0592719603424001
4,0.0657786753456115
4.5,0.0731657438059511
5,0.0827396892061892
