Ma,alpha,CD（尾耙原始）
0.3,-5,0.00803611556312645
0.3,-4,0.00804909968608612
0.3,-3,0.00813844259585262
0.3,-2,0.00809925894494862
0.3,-1,0.00803915016815724
0.3,0,0.00790462086046414
0.3,1,0.00831156812137717
0.3,2,0.00858487697817355
0.3,3,0.00701987290502795
0.3,4,0.00644452589661841
0.3,5,0.00705145269690282
0.3,6,0.007546244289994
0.3,7,0.00825370813468339
0.3,7.5,0.00864959253751646
0.3,8,0.00891798307903401
0.3,8.5,0.00910603226939579
0.3,9,0.00964364672428942
0.3,9.5,0.0104519229372526
0.3,10,0.011280858887405
0.3,10.5,0.012174908329191
0.3,11,0.0135220705296481
0.3,11.5,0.0152823320951026
0.3,12,0.0166584270845943
0.3,12.5,0.018966080943103
0.3,13,0.0213200344565288
0.3,13.5,0.0234743458625664
0.3,14,0.0264524097156486
0.3,14.5,0.030402025259044
0.3,15,0.0378299088124538
0.3,16,0.227470943649541
0.3,17,0.248693546216083
0.3,18,0.246207765035397
0.3,19,0.253410530904623
0.3,20,0.262445227075882
0.3,21,0.305599757844902
0.3,22,0.339941887061113
0.3,23,0.351983813795029
0.3,24,0.366034197089466
0.3,25,0.377199776657734
0.4,-5,0.00789802372371189
0.4,-4,0.00782471069279568
0.4,-3,0.008025561060603
0.4,-2,0.00819325537857405
0.4,-1,0.00821362428827913
0.4,0,0.00793225420627833
0.4,1,0.00829494817036454
0.4,2,0.00857657449103474
0.4,3,0.00753770772302348
0.4,4,0.00650709438801948
0.4,5,0.0065277505692986
0.4,6,0.00743400879130819
0.4,7,0.00809649995340934
0.4,7.5,0.00840432027259866
0.4,8,0.00874209679330764
0.4,8.5,0.00901299290404046
0.4,9,0.00956041774146531
0.4,9.5,0.0102523750849965
0.4,10,0.0110802498165203
0.4,10.5,0.0122497823361706
0.4,11,0.0138051645003574
0.4,11.5,0.0154405392395256
0.4,12,0.0170229183555344
0.4,12.5,0.0183381325525716
0.4,13,0.01939007801845
0.4,13.5,0.0216802280202566
0.4,14,0.0262595502418209
0.4,14.5,0.218214422145175
0.4,15,0.224409421407947
0.4,16,0.241829837251792
0.4,17,0.247133279245981
0.4,18,0.264197026437432
0.4,19,0.244254384187151
0.4,20,0.270564981059312
0.4,21,0.24454974255185
0.4,22,0.249324645769547
0.4,23,0.237332369811194
0.4,24,0.358532208966093
0.4,25,0.382389506046807
0.5,-5,0.00793972178540904
0.5,-4,0.00798362393526123
0.5,-3,0.00807743230356413
0.5,-2,0.0081731061780279
0.5,-1,0.00824150109610954
0.5,0,0.00800394539647066
0.5,1,0.00826685780336692
0.5,2,0.00857803864422479
0.5,3,0.00773011171812675
0.5,4,0.0068499981807148
0.5,5,0.00672050932710231
0.5,6,0.00738190455039694
0.5,7,0.00838214422794905
0.5,7.5,0.00901020739274314
0.5,8,0.00985256138260965
0.5,8.5,0.0114845253770539
0.5,9,0.0135429537057298
0.5,9.5,0.0173641925582149
0.5,10,0.0226075556890152
0.5,10.5,0.029311893548014
0.5,11,0.0362656250329503
0.5,11.5,0.0434735233835715
0.5,12,0.0526315797265195
0.5,12.5,0.0600059407048079
0.5,13,0.0691014856433019
0.5,13.5,0.117276292912849
0.5,14,0.19540548963752
0.5,14.5,0.203014409461347
0.5,15,0.217032255710531
0.5,16,0.180549928471185
0.5,17,0.156199951191427
0.5,18,0.17717424716457
0.5,19,0.196995183029848
0.5,20,0.246377165969046
0.5,21,0.2260684079788
0.5,22,0.243891969326967
0.5,23,0.228021043038566
0.5,24,0.363833399432124
0.5,25,0.376452839405303
