alpha,CD（尾耙原始）
-5,0.00793972178540904
-4,0.00798362393526123
-3,0.00807743230356413
-2,0.0081731061780279
-1,0.00824150109610954
0,0.00800394539647066
1,0.00826685780336692
2,0.00857803864422479
3,0.00773011171812675
4,0.0068499981807148
5,0.00672050932710231
6,0.00738190455039694
7,0.00838214422794905
7.5,0.00901020739274314
8,0.00985256138260965
8.5,0.0114845253770539
9,0.0135429537057298
9.5,0.0173641925582149
10,0.0226075556890152
10.5,0.029311893548014
11,0.0362656250329503
11.5,0.0434735233835715
12,0.0526315797265195
12.5,0.0600059407048079
13,0.0691014856433019
13.5,0.117276292912849
14,0.19540548963752
14.5,0.203014409461347
15,0.217032255710531
16,0.180549928471185
17,0.156199951191427
18,0.17717424716457
19,0.196995183029848
20,0.246377165969046
21,0.2260684079788
22,0.243891969326967
23,0.228021043038566
24,0.363833399432124
25,0.376452839405303
