Ma,alpha,CL
0.3,-5,-0.39846596185617
0.3,-4,-0.307868745634149
0.3,-3,-0.218786808458939
0.3,-2,-0.129469243515016
0.3,-1,-0.0441937487236066
0.3,0,0.0410437816361224
0.3,1,0.125327339830614
0.3,2,0.212788838662523
0.3,3,0.29983689962257
0.3,4,0.389458941713575
0.3,5,0.482487096203957
0.3,6,0.575160501082653
0.3,7,0.66212731390104
0.3,7.5,0.707528352999622
0.3,8,0.752279645637191
0.3,8.5,0.794308521925895
0.3,9,0.839404828864951
0.3,9.5,0.881111371114135
0.3,10,0.921747582518966
0.3,10.5,0.967260084906453
0.3,11,1.00465813434102
0.3,11.5,1.03912615470783
0.3,12,1.08150464692343
0.3,12.5,1.10953584939197
0.3,13,1.14100332397788
0.3,13.5,1.1672739411292
0.3,14,1.1893123508212
0.3,14.5,1.2028225560374
0.3,15,1.21352802952103
0.3,16,0.848993868158779
0.3,17,0.803785431878052
0.3,18,0.758529593324801
0.3,19,0.731639919734279
0.3,20,0.729116383054123
0.3,21,0.732154933058752
0.3,22,0.722603635096029
0.3,23,0.751403618010583
0.3,24,0.7906626666702
0.3,25,0.802445340530817
0.4,-5,-0.420939213327164
0.4,-4,-0.326676579963224
0.4,-3,-0.232479386868002
0.4,-2,-0.140263013735575
0.4,-1,-0.0509508697478289
0.4,0,0.0357803992209191
0.4,1,0.124995836918563
0.4,2,0.215683792877462
0.4,3,0.306540757721414
0.4,4,0.400634952656464
0.4,5,0.493086083147512
0.4,6,0.588499447919206
0.4,7,0.684374787283074
0.4,7.5,0.730976474236037
0.4,8,0.776680277864888
0.4,8.5,0.818892523822439
0.4,9,0.863359344346634
0.4,9.5,0.907193479389814
0.4,10,0.949959238560063
0.4,10.5,0.989800351177476
0.4,11,1.02902427529595
0.4,11.5,1.06996822347239
0.4,12,1.10970394378384
0.4,12.5,1.14566584654948
0.4,13,1.18001843965642
0.4,13.5,1.21067065306769
0.4,14,1.22703541247528
0.4,14.5,0.890213342354651
0.4,15,0.88829819358866
0.4,16,0.848479630193061
0.4,17,0.767556666075732
0.4,18,0.736633444594159
0.4,19,0.748789571085337
0.4,20,0.740257329987377
0.4,21,0.971804647682312
0.4,22,1.03473682792342
0.4,23,0.936860635655392
0.4,24,0.813187198446773
0.4,25,0.851762216204626
0.5,-5,-0.444634245819574
0.5,-4,-0.344509360292551
0.5,-3,-0.24517220140532
0.5,-2,-0.148261367397422
0.5,-1,-0.0544723322708936
0.5,0,0.0366258842716981
0.5,1,0.129389790153069
0.5,2,0.224215813200331
0.5,3,0.320441616331062
0.5,4,0.41681604452929
0.5,5,0.516748854290802
0.5,6,0.612662429405819
0.5,7,0.70988678788329
0.5,7.5,0.758355530137996
0.5,8,0.804452464774396
0.5,8.5,0.847179705738723
0.5,9,0.887162743410262
0.5,9.5,0.924823429063369
0.5,10,0.95760976686909
0.5,10.5,0.982518905199447
0.5,11,1.00507285623936
0.5,11.5,1.02755970202065
0.5,12,1.04676158594877
0.5,12.5,1.07672084069875
0.5,13,1.09098783250591
0.5,13.5,1.06294861124579
0.5,14,0.938341319628277
0.5,14.5,0.967286823860507
0.5,15,1.00103044336973
0.5,16,1.0015689622317
0.5,17,1.02234342573014
0.5,18,0.97426029235354
0.5,19,0.997037154607448
0.5,20,0.993158003849936
0.5,21,1.00071456897057
0.5,22,1.08475934890647
0.5,23,0.986413952257004
0.5,24,0.867765544103551
0.5,25,0.935205303090975
