alpha,CL
-5,-0.444634245819574
-4,-0.344509360292551
-3,-0.24517220140532
-2,-0.148261367397422
-1,-0.0544723322708936
0,0.0366258842716981
1,0.129389790153069
2,0.224215813200331
3,0.320441616331062
4,0.41681604452929
5,0.516748854290802
6,0.612662429405819
7,0.70988678788329
7.5,0.758355530137996
8,0.804452464774396
8.5,0.847179705738723
9,0.887162743410262
9.5,0.924823429063369
10,0.95760976686909
10.5,0.982518905199447
11,1.00507285623936
11.5,1.02755970202065
12,1.04676158594877
12.5,1.07672084069875
13,1.09098783250591
13.5,1.06294861124579
14,0.938341319628277
14.5,0.967286823860507
15,1.00103044336973
16,1.0015689622317
17,1.02234342573014
18,0.97426029235354
19,0.997037154607448
20,0.993158003849936
21,1.00071456897057
22,1.08475934890647
23,0.986413952257004
24,0.867765544103551
25,0.935205303090975
