Ma,alpha,CL_p
0.3,-5,-0.398122959435814
0.3,-4,-0.307785081510991
0.3,-3,-0.218822949469016
0.3,-2,-0.12953566274098
0.3,-1,-0.0442357712656402
0.3,0,0.0410437816361224
0.3,1,0.125357210623985
0.3,2,0.212786972122799
0.3,3,0.299612438513263
0.3,4,0.38890245691697
0.3,5,0.481557696171113
0.3,6,0.573710534408791
0.3,7,0.660022639857036
0.3,7.5,0.70504798234864
0.3,8,0.749383766817008
0.3,8.5,0.790966655805267
0.3,9,0.835606318230471
0.3,9.5,0.876857194767065
0.3,10,0.917049107603407
0.3,10.5,0.962131189838384
0.3,11,0.99902746181457
0.3,11.5,1.03314225565514
0.3,12,1.07501692605531
0.3,12.5,1.10280721440325
0.3,13,1.13364527149749
0.3,13.5,1.15927814916295
0.3,14,1.18085096218324
0.3,14.5,1.19424307593076
0.3,15,1.20517499632081
0.3,16,0.859399458565205
0.3,17,0.817227710381989
0.3,18,0.772400667683966
0.3,19,0.746529295295776
0.3,20,0.743294841132999
0.3,21,0.73221517773956
0.3,22,0.732332996607135
0.3,23,0.755382979442524
0.3,24,0.787772706208665
0.3,25,0.795430650634021
0.4,-5,-0.420532830469051
0.4,-4,-0.326542129757794
0.4,-3,-0.232497186157811
0.4,-2,-0.140328520349102
0.4,-1,-0.0509938756513336
0.4,0,0.0357803992209191
0.4,1,0.125019843013268
0.4,2,0.215669508410723
0.4,3,0.306313485093828
0.4,4,0.400023391639418
0.4,5,0.492005114003396
0.4,6,0.586877251209032
0.4,7,0.682022336378443
0.4,7.5,0.728198731143234
0.4,8,0.773424118460433
0.4,8.5,0.81514867587303
0.4,9,0.859110655394799
0.4,9.5,0.902360631062916
0.4,10,0.944531850111642
0.4,10.5,0.983801998002456
0.4,11,1.02240134556253
0.4,11.5,1.06269170875675
0.4,12,1.10166061012743
0.4,12.5,1.136788920589
0.4,13,1.170082181269
0.4,13.5,1.19993111189928
0.4,14,1.2155894825914
0.4,14.5,0.901689296653803
0.4,15,0.89892145595037
0.4,16,0.861509594267157
0.4,17,0.781770920783518
0.4,18,0.75542339663129
0.4,19,0.756909080058297
0.4,20,0.75394295338309
0.4,21,0.942016034256314
0.4,22,0.985216852109031
0.4,23,0.878591796907897
0.4,24,0.815022428126993
0.4,25,0.838686533396593
0.5,-5,-0.444159925092889
0.5,-4,-0.344350832990338
0.5,-3,-0.245174328670016
0.5,-2,-0.148318414571077
0.5,-1,-0.0545123126418043
0.5,0,0.0366258842716981
0.5,1,0.129407303493184
0.5,2,0.224182611290656
0.5,3,0.320182117180874
0.5,4,0.416159644719284
0.5,5,0.515534941000934
0.5,6,0.610816681126726
0.5,7,0.707227461066519
0.5,7.5,0.755191210070743
0.5,8,0.800727157756164
0.5,8.5,0.842893313211506
0.5,9,0.882255080217918
0.5,9.5,0.919317837295614
0.5,10,0.951578426386233
0.5,10.5,0.976006625826502
0.5,11,0.997989253920784
0.5,11.5,1.01996197357407
0.5,12,1.03847591566337
0.5,12.5,1.0675444718605
0.5,13,1.08120678815688
0.5,13.5,1.05761359116894
0.5,14,0.945489216704563
0.5,14.5,0.973418703008496
0.5,15,1.00785952812328
0.5,16,0.989775701087077
0.5,17,0.997457602992777
0.5,18,0.954312008268765
0.5,19,0.964979925991413
0.5,20,0.961324428672978
0.5,21,0.951576704429294
0.5,22,1.02824453297455
0.5,23,0.921751558870605
0.5,24,0.858335780559828
0.5,25,0.905930339295644
