alpha,CL_p
-5,-0.398122959435814
-4,-0.307785081510991
-3,-0.218822949469016
-2,-0.12953566274098
-1,-0.0442357712656402
0,0.0410437816361224
1,0.125357210623985
2,0.212786972122799
3,0.299612438513263
4,0.38890245691697
5,0.481557696171113
6,0.573710534408791
7,0.660022639857036
7.5,0.70504798234864
8,0.749383766817008
8.5,0.790966655805267
9,0.835606318230471
9.5,0.876857194767065
10,0.917049107603407
10.5,0.962131189838384
11,0.99902746181457
11.5,1.03314225565514
12,1.07501692605531
12.5,1.10280721440325
13,1.13364527149749
13.5,1.15927814916295
14,1.18085096218324
14.5,1.19424307593076
15,1.20517499632081
16,0.859399458565205
17,0.817227710381989
18,0.772400667683966
19,0.746529295295776
20,0.743294841132999
21,0.73221517773956
22,0.732332996607135
23,0.755382979442524
24,0.787772706208665
25,0.795430650634021
