Ma,alpha,CM（翼型原始）
0.3,-5,-0.0162153991843544
0.3,-4,-0.014331909238435
0.3,-3,-0.0123215204781117
0.3,-2,-0.0111663612888367
0.3,-1,-0.00966670224098695
0.3,0,-0.00846898528974658
0.3,1,-0.00748800272793645
0.3,2,-0.00647161624355824
0.3,3,-0.005497979267155
0.3,4,-0.00567666628252287
0.3,5,-0.00645240805699199
0.3,6,-0.0073383588630504
0.3,7,-0.0075053242785007
0.3,7.5,-0.00742265707645065
0.3,8,-0.00746665535315627
0.3,8.5,-0.00713961430808826
0.3,9,-0.00717328787045376
0.3,9.5,-0.006586833820513
0.3,10,-0.00620861693929519
0.3,10.5,-0.00582406649662293
0.3,11,-0.00535494852143696
0.3,11.5,-0.0043644641130855
0.3,12,-0.00395046341419328
0.3,12.5,-0.00295441178506153
0.3,13,-0.00258366932453977
0.3,13.5,-0.00218664011812957
0.3,14,-0.00131374274830258
0.3,14.5,-0.00129576944534743
0.3,15,-0.00401025568162466
0.3,16,-0.131891307037409
0.3,17,-0.126338096096696
0.3,18,-0.108287265539597
0.3,19,-0.100608851331772
0.3,20,-0.0996394127010002
0.3,21,-0.124870460068062
0.3,22,-0.116489245931729
0.3,23,-0.123619323138112
0.3,24,-0.13180476058229
0.3,25,-0.134776223126903
0.4,-5,-0.0160152034962137
0.4,-4,-0.0140045044750513
0.4,-3,-0.0124306899972219
0.4,-2,-0.0110689793947851
0.4,-1,-0.00981962464001371
0.4,0,-0.00861500918584224
0.4,1,-0.00762628458986589
0.4,2,-0.00681835417615829
0.4,3,-0.0055971525981554
0.4,4,-0.00670020920145423
0.4,5,-0.00559347931352514
0.4,6,-0.00575854215982232
0.4,7,-0.00630114175537544
0.4,7.5,-0.00590477089454275
0.4,8,-0.004912031714286
0.4,8.5,-0.00280676816298399
0.4,9,-0.00157222863842505
0.4,9.5,-0.00105585891481286
0.4,10,-0.00015387477036222
0.4,10.5,0.00101626854717576
0.4,11,0.00197025367462941
0.4,11.5,0.00333781929437019
0.4,12,0.00426115907885635
0.4,12.5,0.00544701160942648
0.4,13,0.00670852683087984
0.4,13.5,0.00836833294860385
0.4,14,0.00890816142238376
0.4,14.5,-0.125025794761761
0.4,15,-0.128167344501712
0.4,16,-0.122602737340792
0.4,17,-0.114873107603929
0.4,18,-0.105102114415864
0.4,19,-0.10331725365217
0.4,20,-0.101497595771704
0.4,21,-0.117359036202914
0.4,22,-0.122335073099954
0.4,23,-0.132031776807954
0.4,24,-0.121887269512766
0.4,25,-0.143618477476428
0.5,-5,-0.018266998625107
0.5,-4,-0.0155645492211082
0.5,-3,-0.0136940083369476
0.5,-2,-0.0122343193295265
0.5,-1,-0.0107913681294507
0.5,0,-0.00935118032143095
0.5,1,-0.00810678403004586
0.5,2,-0.00695932011273958
0.5,3,-0.00587059057913786
0.5,4,-0.00447122206280952
0.5,5,-0.00510900731643814
0.5,6,-0.00190929126121264
0.5,7,0.000360377594187108
0.5,7.5,0.00114052711897364
0.5,8,0.00274622167453415
0.5,8.5,0.00475011624668733
0.5,9,0.00679851631379967
0.5,9.5,0.00869770194886968
0.5,10,0.0102038796254306
0.5,10.5,0.0108880993374678
0.5,11,0.00988206774914061
0.5,11.5,0.00748535250759299
0.5,12,0.0032863445478638
0.5,12.5,0.00222557596992052
0.5,13,-0.00055659151028703
0.5,13.5,-0.0437390605400888
0.5,14,-0.109254031436771
0.5,14.5,-0.102252437446382
0.5,15,-0.103560141114135
0.5,16,-0.11042199774149
0.5,17,-0.0971772580734289
0.5,18,-0.0985252597028517
0.5,19,-0.108320369678796
0.5,20,-0.12442544771322
0.5,21,-0.128259851023523
0.5,22,-0.120936092255744
0.5,23,-0.13077957278832
0.5,24,-0.135480124028175
0.5,25,-0.15767689712524
