alpha,CM（翼型原始）
-5,-0.0248603446999589
-4,-0.0197304676673256
-3,-0.0164480499024356
-2,-0.0143630269529865
-1,-0.0124983192843556
0,-0.0105245493086783
1,-0.0087586381002111
2,-0.00721230412435207
3,-0.00562047741453423
4,-0.00269455948919611
5,-0.000743018337831229
6,0.00544513745464905
7,0.00988098923467467
8,0.0112928202892582
9,0.00530534335071428
10,-0.0116449417178127
11,-0.0399309889683046
12,-0.044075767449281
13,-0.0494782266999861
14,-0.056905339023195
15,-0.0690058793247366
