alpha,CN（翼型原始）
-5,-0.562667630746732
-4.5,-0.521785094806359
-4,-0.481854432542062
-3.5,-0.427817205853742
-3,-0.363209633595979
-2.5,-0.295680434252456
-2,-0.228211277180893
-1.5,-0.162075888150378
-1,-0.0978804659224143
-0.5,-0.0344129880535582
0,0.0284172250945631
0.5,0.0947735890044398
1,0.161508096814065
1.5,0.228671611393102
2,0.295151039278232
2.5,0.361478535003734
3,0.427347748509144
3.5,0.488953501283651
4,0.53838007895517
4.5,0.580175203058312
5,0.628920008486525
