Ma,alpha,CN（翼型原始）
0.3,-5,-0.397650072191855
0.3,-4,-0.30768026965413
0.3,-3,-0.218912901917371
0.3,-2,-0.129673034410851
0.3,-1,-0.0443273203177638
0.3,0,0.0410437816361224
0.3,1,0.125453308734707
0.3,2,0.212958821337163
0.3,3,0.29979337533353
0.3,4,0.388959786707199
0.3,5,0.481265661733313
0.3,6,0.572798508996762
0.3,7,0.658197791300114
0.3,7.5,0.702604348235928
0.3,8,0.746199655198153
0.3,8.5,0.786929685855734
0.3,9,0.83057896122552
0.3,9.5,0.870752523538033
0.3,10,0.909703066173253
0.3,10.5,0.953281926192186
0.3,11,0.988779867434133
0.3,11.5,1.02131219719873
0.3,12,1.06133465731213
0.3,12.5,1.08734043075505
0.3,13,1.11655544693414
0.3,13.5,1.14050204642925
0.3,14,1.16038410831065
0.3,14.5,1.1721218786288
0.3,15,1.1819691655152
0.3,16,0.878804774980299
0.3,17,0.841374787339522
0.3,18,0.797486896077277
0.3,19,0.774281533625381
0.3,20,0.774906839029702
0.3,21,0.793042673267438
0.3,22,0.797330895983649
0.3,23,0.829201710054555
0.3,24,0.871185808239262
0.3,25,0.886673974734427
0.4,-5,-0.42002577065931
0.4,-4,-0.326426636459138
0.4,-3,-0.232580807360514
0.4,-2,-0.140463509786454
0.4,-1,-0.0510864571929824
0.4,0,0.0357803992209191
0.4,1,0.125121566254015
0.4,2,0.215851722271591
0.4,3,0.306515147408214
0.4,4,0.400112938006464
0.4,5,0.491778672683716
0.4,6,0.586052651882665
0.4,7,0.680260276531365
0.4,7.5,0.725819853089845
0.4,8,0.770338343510546
0.4,8.5,0.811229901622531
0.4,9,0.85422553698998
0.4,9.5,0.896443996492801
0.4,10,0.937451288368257
0.4,10.5,0.975458398324975
0.4,11,1.01275235062736
0.4,11.5,1.05156664375433
0.4,12,1.08899351387496
0.4,12.5,1.12247808980996
0.4,13,1.15413646198986
0.4,13.5,1.1822808752699
0.4,14,1.19693997688616
0.4,14.5,0.916494474735211
0.4,15,0.916111598794027
0.4,16,0.882268305186239
0.4,17,0.806272868386221
0.4,18,0.782221408634713
0.4,19,0.787515897754111
0.4,20,0.78815302407263
0.4,21,0.994896587255353
0.4,22,1.05278993678261
0.4,23,0.955117906812688
0.4,24,0.888711658463581
0.4,25,0.933563517603234
0.5,-5,-0.443634270624899
0.5,-4,-0.344227062259281
0.5,-3,-0.245258941567744
0.5,-2,-0.148456287870401
0.5,-1,-0.0546078698976287
0.5,0,0.0366258842716981
0.5,1,0.129514360023659
0.5,2,0.224378596216416
0.5,3,0.320407025021325
0.5,4,0.416278533312158
0.5,5,0.515368199871527
0.5,6,0.610077819652247
0.5,7,0.705616925827966
0.5,7.5,0.753043761511815
0.5,8,0.797994800206554
0.5,8.5,0.839571689026963
0.5,9,0.878358882594732
0.5,9.5,0.915005950458927
0.5,10,0.946987283619794
0.5,10.5,0.971408203635612
0.5,11,0.993526644509184
0.5,11.5,1.01559836404167
0.5,12,1.03483005456746
0.5,12.5,1.06418592019715
0.5,13,1.07857033709088
0.5,13.5,1.0609568633746
0.5,14,0.957741438687186
0.5,14.5,0.987307204753426
0.5,15,1.02309323933187
0.5,16,1.01253618411077
0.5,17,1.02334032626072
0.5,18,0.981326452949895
0.5,19,1.00685250842001
0.5,20,1.01752920110915
0.5,21,1.01526320592584
0.5,22,1.09713489418754
0.5,23,0.997093750031536
0.5,24,0.940727646638438
0.5,25,1.00667969328614
