iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,0.7969617406398593,"[0.4, 7.0]","[0.5, -5.0]",2,-0.101370862,-0.042532521
2,14,0.8153517033447093,"[0.4, 4.0]","[0.5, 25.0]",2,-0.031786465,-0.059730266
3,16,0.8223122731949488,"[0.4, 1.0]","[0.3, -5.0]",2,0.005010345,-0.036610127
4,18,0.8242624554225083,"[0.4, -1.0]","[0.3, 25.0]",2,0.007304952,-0.000417344
5,20,0.8243028535372994,"[0.4, -2.0]","[0.3, 7.0]",2,0.002124854,-0.097015571
6,22,0.8373327415218166,"[0.5, 7.0]","[0.5, 20.0]",2,-0.104344515,-0.11240018
7,24,0.8539001397218049,"[0.4, 20.0]","[0.5, 0.0]",2,-0.002692446,0.008003945
8,26,0.8493515115103107,"[0.4, 21.0]","[0.3, 18.0]",2,-0.12280918,-0.00261104
9,28,0.8627623993487217,"[0.4, 23.0]","[0.3, 10.5]",2,-0.151714234,-0.203779755
10,30,0.9196990925595738,"[0.4, 10.5]","[0.3, 3.0]",2,-0.203885455,-0.014595543
11,32,0.9472489604120035,"[0.4, 10.0]","[0.5, 4.0]",2,-0.1913469,-0.034013675
12,34,0.9699858127516077,"[0.4, 9.0]","[0.3, 24.0]",2,-0.161489241,0.008374946
13,36,0.9839881684737432,"[0.4, 24.0]","[0.5, 17.0]",2,-0.006571801,-0.152761562
14,38,0.986472913281989,"[0.5, 22.0]","[0.3, -4.0]",2,-0.167064904,-0.019597746
15,40,0.9859878256818599,"[0.5, 23.0]","[0.3, 16.0]",2,-0.180864694,-0.091439761
16,42,1.0019289706690695,"[0.4, 16.0]","[0.5, 24.0]",2,-0.002066164,-0.026031122
17,44,0.9932910094195604,"[0.3, 23.0]","[0.4, 22.0]",2,0.024670963,-0.160745743
18,46,0.9970103862179912,"[0.5, 21.0]","[0.4, -4.0]",2,-0.153265114,-0.021491792
19,48,0.9977222705645399,"[0.5, 19.0]","[0.3, 21.0]",2,-0.143419443,0.020051327
20,50,1.0015990217914075,"[0.3, 20.0]","[0.3, 19.0]",2,-0.007619314,-0.002405117
21,52,1.0015186061863564,"[0.4, 19.0]","[0.4, 18.0]",2,-0.016801557,0.020296836
22,54,1.0014118042208682,"[0.5, 18.0]","[0.3, 17.0]",2,-0.136458385,0.002365739
23,56,1.0000129952450085,"[0.5, 16.0]","[0.5, -4.0]",2,-0.1033164,-0.023361903
24,58,1.0022149898216048,"[0.5, 15.0]","[0.3, -3.0]",2,-0.049636832,-0.006385507
25,60,1.0015696195576123,"[0.5, 12.5]","[0.5, 2.0]",2,-0.157258816,-0.002905097
26,62,0.9990524523298233,"[0.5, 12.0]","[0.4, -3.0]",2,-0.146009105,-0.007496201
27,64,0.9910980696014576,"[0.5, 11.5]","[0.5, 5.0]",2,-0.1382273,-0.055570559
