x1,x2,y_high
0.3,14.0,-0.185399592
0.4,14.0,-0.191988581
0.5,14.0,-0.03205399
0.4,13.0,-0.18388308
0.3,22.0,0.040421101
0.3,0.0,0.007989823
0.4,17.0,0.009652488
0.5,10.0,-0.137853764
0.4,-5.0,-0.039398747
0.4,25.0,-0.016073707
0.4,7.0,-0.101370862
0.5,-5.0,-0.042532521
0.4,4.0,-0.031786465
0.5,25.0,-0.059730266
0.4,1.0,0.005010345
0.3,-5.0,-0.036610127
0.4,-1.0,0.007304952
0.3,25.0,-0.000417344
0.4,-2.0,0.002124854
0.3,7.0,-0.097015571
0.5,7.0,-0.104344515
0.5,20.0,-0.11240018
0.4,20.0,-0.002692446
0.5,0.0,0.008003945
0.4,21.0,-0.12280918
0.3,18.0,-0.00261104
0.4,23.0,-0.151714234
0.3,10.5,-0.203779755
0.4,10.5,-0.203885455
0.3,3.0,-0.014595543
0.4,10.0,-0.1913469
0.5,4.0,-0.034013675
0.4,9.0,-0.161489241
0.3,24.0,0.008374946
0.4,24.0,-0.006571801
0.5,17.0,-0.152761562
0.5,22.0,-0.167064904
0.3,-4.0,-0.019597746
0.5,23.0,-0.180864694
0.3,16.0,-0.091439761
0.4,16.0,-0.002066164
0.5,24.0,-0.026031122
0.3,23.0,0.024670963
0.4,22.0,-0.160745743
0.5,21.0,-0.153265114
0.4,-4.0,-0.021491792
0.5,19.0,-0.143419443
0.3,21.0,0.020051327
0.3,20.0,-0.007619314
0.3,19.0,-0.002405117
0.4,19.0,-0.016801557
0.4,18.0,0.020296836
0.5,18.0,-0.136458385
0.3,17.0,0.002365739
0.5,16.0,-0.1033164
0.5,-4.0,-0.023361903
0.5,15.0,-0.049636832
0.3,-3.0,-0.006385507
0.5,12.5,-0.157258816
0.5,2.0,-0.002905097
0.5,12.0,-0.146009105
0.4,-3.0,-0.007496201
0.5,11.5,-0.1382273
0.5,5.0,-0.055570559
