iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,0.47454172970559383,"[0.5, 8.0]","[0.4, 25.0]",2,-0.1139401,0.020239051
2,14,0.513453872264735,"[0.5, 5.0]","[0.4, 4.0]",2,-0.055769291,-0.032555303
3,16,0.5222582552458674,"[0.5, -5.0]","[0.3, -5.0]",2,-0.042274139,-0.036904802
4,18,0.5304519047802554,"[0.3, 25.0]","[0.4, 20.0]",2,0.021893319,-0.028504137
5,20,0.5336673139613506,"[0.3, 20.0]","[0.3, 7.0]",2,-0.033683733,-0.10188988
6,22,0.5612569649582293,"[0.3, 7.5]","[0.5, 20.0]",2,-0.116444806,-0.005551033
7,24,0.5912403572540461,"[0.3, 4.0]","[0.4, 9.0]",2,-0.031853791,-0.165674965
8,26,0.652092042215163,"[0.3, 9.0]","[0.4, -1.0]",2,-0.165002388,0.004660715
9,28,0.7047180070042014,"[0.5, -1.0]","[0.4, 17.0]",2,0.00476925,-0.027991329
10,30,0.7057462168572959,"[0.3, 17.0]","[0.3, 24.0]",2,-0.032734303,0.023070837
11,32,0.707015983784675,"[0.5, 17.0]","[0.5, 1.0]",2,-0.056366546,0.001857013
12,34,0.7103638259425747,"[0.5, 18.0]","[0.3, -2.0]",2,-0.059427896,0.000324651
13,36,0.7154128476531447,"[0.5, 22.0]","[0.4, 22.0]",2,-0.004974896,-0.017849113
14,38,0.7149123959387531,"[0.5, 23.0]","[0.5, 24.0]",2,-0.006109085,0.006071963
15,40,0.7147378473683638,"[0.4, 24.0]","[0.3, -4.0]",2,-0.004591051,-0.020908591
16,42,0.7154334980970999,"[0.4, 23.0]","[0.5, 11.5]",2,0.005820914,-0.079604504
17,44,0.7082187062634593,"[0.3, 22.0]","[0.5, 21.0]",2,0.031464889,-0.003840707
18,46,0.7092974233699485,"[0.4, 21.0]","[0.3, 2.0]",2,-0.026334853,-0.005469973
19,48,0.7095968976472525,"[0.4, 19.0]","[0.3, 12.0]",2,-0.028956564,-0.24222497
20,50,0.79179125823348,"[0.3, 11.5]","[0.3, 21.0]",2,-0.236679262,0.036605784
21,52,0.8554779365537079,"[0.3, 10.5]","[0.4, 7.0]",2,-0.2138815,-0.104549386
22,54,0.91060220147382,"[0.5, 7.0]","[0.5, 19.0]",2,-0.100965305,-0.03007688
23,56,0.9189238416564426,"[0.4, 14.5]","[0.5, 2.0]",2,-0.058263154,-0.005814653
24,58,0.9002260103244959,"[0.4, 12.0]","[0.4, 11.5]",2,-0.175544695,-0.208395078
25,60,0.9304459199960087,"[0.4, 11.0]","[0.4, 1.0]",2,-0.212112767,0.001840142
26,62,0.9576770806166457,"[0.4, 10.0]","[0.4, -4.0]",2,-0.19408449,-0.0222847
27,64,0.9807354591636425,"[0.3, 10.0]","[0.5, 3.0]",2,-0.197219966,-0.017901141
