x1,x2,y_high
0.3,14.0,-0.097951646
0.4,14.0,-0.083445141
0.5,14.0,-0.044545529
0.3,14.5,-0.084222498
0.5,0.0,0.005520881
0.3,0.0,0.005162798
0.3,23.0,0.025744384
0.5,25.0,0.018318525
0.5,10.0,-0.098532945
0.4,-5.0,-0.039337508
0.5,8.0,-0.1139401
0.4,25.0,0.020239051
0.5,5.0,-0.055769291
0.4,4.0,-0.032555303
0.5,-5.0,-0.042274139
0.3,-5.0,-0.036904802
0.3,25.0,0.021893319
0.4,20.0,-0.028504137
0.3,20.0,-0.033683733
0.3,7.0,-0.10188988
0.3,7.5,-0.116444806
0.5,20.0,-0.005551033
0.3,4.0,-0.031853791
0.4,9.0,-0.165674965
0.3,9.0,-0.165002388
0.4,-1.0,0.004660715
0.5,-1.0,0.00476925
0.4,17.0,-0.027991329
0.3,17.0,-0.032734303
0.3,24.0,0.023070837
0.5,17.0,-0.056366546
0.5,1.0,0.001857013
0.5,18.0,-0.059427896
0.3,-2.0,0.000324651
0.5,22.0,-0.004974896
0.4,22.0,-0.017849113
0.5,23.0,-0.006109085
0.5,24.0,0.006071963
0.4,24.0,-0.004591051
0.3,-4.0,-0.020908591
0.4,23.0,0.005820914
0.5,11.5,-0.079604504
0.3,22.0,0.031464889
0.5,21.0,-0.003840707
0.4,21.0,-0.026334853
0.3,2.0,-0.005469973
0.4,19.0,-0.028956564
0.3,12.0,-0.24222497
0.3,11.5,-0.236679262
0.3,21.0,0.036605784
0.3,10.5,-0.2138815
0.4,7.0,-0.104549386
0.5,7.0,-0.100965305
0.5,19.0,-0.03007688
0.4,14.5,-0.058263154
0.5,2.0,-0.005814653
0.4,12.0,-0.175544695
0.4,11.5,-0.208395078
0.4,11.0,-0.212112767
0.4,1.0,0.001840142
0.4,10.0,-0.19408449
0.4,-4.0,-0.0222847
0.3,10.0,-0.197219966
0.5,3.0,-0.017901141
