iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,1.0237299809334366,"[0.3, 9.5]","[0.4, 25.0]",2,0.001939358,0.415300042
2,14,1.025839850770168,"[0.4, 24.0]","[0.4, 13.0]",2,0.360341713,0.100836113
3,16,1.0157429268508023,"[0.4, 21.0]","[0.5, 18.0]",2,0.334616286,0.250434595
4,18,1.0202221767379998,"[0.4, 18.0]","[0.5, -5.0]",2,0.217105636,0.00819712
5,20,1.022256909828066,"[0.4, 8.0]","[0.4, 5.0]",2,0.005021583,0.005484254
6,22,1.0210044378988101,"[0.5, 8.0]","[0.3, 21.0]",2,0.021402189,0.321266871
7,24,1.0294534221700327,"[0.5, 5.0]","[0.5, 22.0]",2,0.006522533,0.3772262695
8,26,1.0261248112843815,"[0.5, 4.0]","[0.3, -5.0]",2,0.006142651,0.007746682
9,28,1.0259204925007235,"[0.3, -4.0]","[0.5, 14.5]",2,0.006758387,0.191264583
10,30,1.0271464759880902,"[0.4, 14.5]","[0.3, 4.0]",2,0.1662570085,0.00516604
11,32,1.0296296913221832,"[0.4, 15.0]","[0.5, 2.0]",2,0.200935231,0.005670255
12,34,1.033235502899683,"[0.4, 16.0]","[0.3, 14.5]",2,0.207684585,0.127261378
13,36,1.0360962818596509,"[0.3, 14.0]","[0.5, 24.0]",2,0.111684669,0.393161026
14,38,1.0332597950434819,"[0.3, 24.0]","[0.3, 2.0]",2,0.379888741,0.005064921
15,40,1.0324648275545407,"[0.3, 23.0]","[0.4, 2.0]",2,0.353244506,0.005296604
16,42,1.0313965695105343,"[0.4, 1.0]","[0.5, 11.0]",2,0.005125228,0.090268923
17,44,1.0321014200077003,"[0.5, 12.0]","[0.5, 20.0]",2,0.111534527,0.346782522
18,46,1.0344316583162692,"[0.4, 20.0]","[0.4, 23.0]",2,0.246309925,0.382344239
19,48,1.0320550599531948,"[0.3, 20.0]","[0.5, 23.0]",2,0.238382867,0.388884429
20,50,1.0303751168120183,"[0.3, 19.0]","[0.3, 22.0]",2,0.222915337,0.332168786
21,52,1.0310156296572723,"[0.3, 17.0]","[0.4, 22.0]",2,0.21596778,0.381816094
22,54,1.0332046617793642,"[0.5, 21.0]","[0.5, 19.0]",2,0.36556811,0.304162682
23,56,1.0332060770778133,"[0.5, 17.0]","[0.5, -4.0]",2,0.248382963,0.007163138
24,58,1.033879155663695,"[0.5, 16.0]","[0.3, 7.0]",2,0.23003922,0.003552665
25,60,1.0339880252028064,"[0.3, 16.0]","[0.4, -4.0]",2,0.1785060465,0.007033734
26,62,1.0346109775927155,"[0.3, 15.0]","[0.3, -3.0]",2,0.141044313,0.006322619
27,64,1.035983714100653,"[0.3, 6.0]","[0.5, 10.5]",2,0.004152956,0.078841935
