iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,1.2957509942162533,"[0.5, 13.5]","[0.4, 25.0]",2,0.167806293,0.500294506
2,14,1.2914580894244694,"[0.5, 16.0]","[0.3, -5.0]",2,0.228439928,0.009744785
3,16,1.2855514893584479,"[0.5, 19.0]","[0.4, 17.0]",2,0.273235183,0.297413279
4,18,1.2751517345906145,"[0.5, 21.0]","[0.5, -5.0]",2,0.322558408,0.010171222
5,20,1.2834786877430326,"[0.5, -4.0]","[0.4, 1.0]",2,0.009613124,0.009312948
6,22,1.2834571525033625,"[0.5, -1.0]","[0.4, 21.0]",2,0.009188501,0.462519743
7,24,1.3291587858899472,"[0.3, 21.0]","[0.3, 1.0]",2,0.373267591,0.009232447
8,26,1.319757075113305,"[0.5, 1.0]","[0.4, 5.0]",2,0.009327358,0.008577751
9,28,1.3197388342299718,"[0.3, 5.0]","[0.3, 13.5]",2,0.009089635,0.11280144
10,30,1.321286614679451,"[0.3, 14.0]","[0.3, -2.0]",2,0.132942407,0.008768524
11,32,1.3239074709825962,"[0.3, 16.0]","[0.4, 13.0]",2,0.23182509,0.110609078
12,34,1.3241210748851666,"[0.5, 13.0]","[0.4, -2.0]",2,0.120426486,0.009175255
13,36,1.3235600728936665,"[0.5, 12.0]","[0.5, 24.0]",2,0.11006658,0.493518399
14,38,1.3442112276266829,"[0.5, 8.5]","[0.3, 15.0]",2,0.034861525,0.165959598
15,40,1.3488705678586714,"[0.5, 8.0]","[0.3, 24.0]",2,0.026863061,0.467431714
16,42,1.3400876185042245,"[0.5, 4.0]","[0.5, 3.0]",2,0.008657498,0.009188612
17,44,1.3400752839963412,"[0.5, 23.0]","[0.4, 23.0]",2,0.347311043,0.57817537
18,46,1.383094729986023,"[0.3, 23.0]","[0.5, 7.0]",2,0.450026763,0.016526644
19,48,1.3729378993646377,"[0.3, 22.0]","[0.4, 15.0]",2,0.436794532,0.298559421
20,50,1.3712632118461605,"[0.3, 20.0]","[0.4, 24.0]",2,0.334890724,0.469757209
21,52,1.369464170221951,"[0.4, 22.0]","[0.5, 22.0]",2,0.529211146,0.3349347255
22,54,1.396624875693399,"[0.4, 19.0]","[0.5, 20.0]",2,0.309059384,0.333012166
23,56,1.3918524395625416,"[0.3, 19.0]","[0.4, 3.0]",2,0.317108525,0.008861708
24,58,1.3873327149932915,"[0.3, 3.0]","[0.3, 7.0]",2,0.008344574,0.011469715
25,60,1.3873264758229333,"[0.4, 20.0]","[0.4, -4.0]",2,0.409289981,0.009260211
26,62,1.393774322627781,"[0.4, 18.0]","[0.3, -4.0]",2,0.320572026,0.009365663
27,64,1.389498576334438,"[0.5, 18.0]","[0.4, 7.0]",2,0.243479247,0.011533
