x1,x2,y_high
0.3,9.0,0.015519909
0.3,9.5,0.01749068
0.5,6.0,0.011066905
0.4,9.0,0.016697918
0.5,25.0,0.518602839
0.3,25.0,0.488485664
0.3,10.0,0.019885946
0.5,10.0,0.067280556
0.4,-5.0,0.009825524
0.3,18.0,0.299962723
0.5,13.5,0.167806293
0.4,25.0,0.500294506
0.5,16.0,0.228439928
0.3,-5.0,0.009744785
0.5,19.0,0.273235183
0.4,17.0,0.297413279
0.5,21.0,0.322558408
0.5,-5.0,0.010171222
0.5,-4.0,0.009613124
0.4,1.0,0.009312948
0.5,-1.0,0.009188501
0.4,21.0,0.462519743
0.3,21.0,0.373267591
0.3,1.0,0.009232447
0.5,1.0,0.009327358
0.4,5.0,0.008577751
0.3,5.0,0.009089635
0.3,13.5,0.11280144
0.3,14.0,0.132942407
0.3,-2.0,0.008768524
0.3,16.0,0.23182509
0.4,13.0,0.110609078
0.5,13.0,0.120426486
0.4,-2.0,0.009175255
0.5,12.0,0.11006658
0.5,24.0,0.493518399
0.5,8.5,0.034861525
0.3,15.0,0.165959598
0.5,8.0,0.026863061
0.3,24.0,0.467431714
0.5,4.0,0.008657498
0.5,3.0,0.009188612
0.5,23.0,0.347311043
0.4,23.0,0.57817537
0.3,23.0,0.450026763
0.5,7.0,0.016526644
0.3,22.0,0.436794532
0.4,15.0,0.298559421
0.3,20.0,0.334890724
0.4,24.0,0.469757209
0.4,22.0,0.529211146
0.5,22.0,0.3349347255
0.4,19.0,0.309059384
0.5,20.0,0.333012166
0.3,19.0,0.317108525
0.4,3.0,0.008861708
0.3,3.0,0.008344574
0.3,7.0,0.011469715
0.4,20.0,0.409289981
0.4,-4.0,0.009260211
0.4,18.0,0.320572026
0.3,-4.0,0.009365663
0.5,18.0,0.243479247
0.4,7.0,0.011533
