iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,0.8730456632234198,"[0.3, 20.0]","[0.3, 25.0]",2,0.744521635,0.811360914
2,14,0.8910424339907466,"[0.3, 21.0]","[0.5, 25.0]",2,0.74071559,0.94863957
3,16,0.9092328406838556,"[0.3, 6.0]","[0.4, -5.0]",2,0.758942953,-0.542324754
4,18,0.927665215572166,"[0.3, 4.0]","[0.5, 18.0]",2,0.53042238,0.986874874
5,20,0.9383878588967713,"[0.3, 1.0]","[0.5, 2.0]",2,0.184991415,0.328884683
6,22,0.9412404115778084,"[0.3, 2.0]","[0.4, 7.0]",2,0.301648765,0.897740225
7,24,0.9565129231821616,"[0.5, 7.0]","[0.4, -1.0]",2,0.924466946,-0.051994072
8,26,0.9695984262265118,"[0.4, -2.0]","[0.5, 14.0]",2,-0.173739201,0.916225879
9,28,0.9659050639799794,"[0.5, 14.5]","[0.5, -2.0]",2,0.962502841,-0.186625366
10,30,0.9669227583810553,"[0.5, 21.0]","[0.3, 9.5]",2,1.01660362,1.10753605
11,32,0.9813275307487136,"[0.5, 22.0]","[0.5, 24.0]",2,1.008337694,0.881183137
12,34,0.979980982534727,"[0.5, 23.0]","[0.3, -2.0]",2,1.000071768,-0.159296786
13,36,0.9820765421410308,"[0.4, 23.0]","[0.5, 17.0]",2,0.947402972,1.033397942
14,38,0.9851457017742621,"[0.3, 23.0]","[0.3, 17.0]",2,0.766723602,0.808097774
15,40,0.9866972348535029,"[0.4, 17.0]","[0.3, 10.0]",2,0.775322093,1.146325032
16,42,0.9962931064138839,"[0.4, 18.0]","[0.4, 10.0]",2,0.747432899,1.1647621
17,44,1.004964128706572,"[0.4, 9.5]","[0.4, 21.0]",2,1.132585236,0.979764048
18,46,1.013597132451903,"[0.4, 5.0]","[0.5, 5.0]",2,0.666810927,0.714416427
19,48,1.0200164832545948,"[0.3, 5.0]","[0.3, 24.0]",2,0.644815182,0.802499633
20,50,1.022666206692441,"[0.4, 24.0]","[0.3, 22.0]",2,0.821433911,0.73479705
21,52,1.020759547299784,"[0.4, 22.0]","[0.4, -4.0]",2,1.046205635,-0.419996027
22,54,1.0225355793377233,"[0.5, 20.0]","[0.5, 19.0]",2,1.005551842,1.012636043
23,56,1.0221708495257975,"[0.4, 19.0]","[0.5, -4.0]",2,0.760973121,-0.449077734
24,58,1.0233498467386113,"[0.3, 19.0]","[0.3, 18.0]",2,0.744772343,0.767456026
25,59,1.0234364313320308,"[0.3, 16.0]","[0.5, 0.0]",2,0.8334962495,
