iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,0.886557183230496,"[0.3, 13.0]","[0.3, 25.0]",2,1.013232094,0.80193202
2,14,0.8949758203474275,"[0.3, 7.5]","[0.5, 25.0]",2,0.916623669,0.915654725
3,16,0.9264865423378837,"[0.3, 5.0]","[0.5, 2.0]",2,0.645026967,0.328986225
4,18,0.9387250053859206,"[0.3, 2.0]","[0.5, 19.0]",2,0.301775352,0.975735314
5,20,0.9473640032359791,"[0.4, 19.0]","[0.4, -5.0]",2,0.764930404,-0.542319417
6,22,0.9561020492408144,"[0.4, 17.0]","[0.3, 20.0]",2,0.78632808,0.753436191
7,24,0.961326224583307,"[0.5, 20.0]","[0.4, 7.5]",2,0.969007281,0.951156265
8,26,0.9769797477627616,"[0.5, 7.5]","[0.3, -2.0]",2,0.956132048,-0.159375677
9,28,0.9882923479006374,"[0.5, 6.0]","[0.5, -2.0]",2,0.831420068,-0.186699566
10,30,0.9977297732810452,"[0.5, 5.0]","[0.3, 22.0]",2,0.714433748,0.738152106
11,32,1.0042542302401853,"[0.3, 23.0]","[0.3, 10.5]",2,0.766304183,1.187026738
12,34,1.0167564803397597,"[0.3, 24.0]","[0.3, 9.5]",2,0.796522275,1.108997973
13,36,1.026857955235477,"[0.3, 9.0]","[0.5, 22.0]",2,1.066723703,0.947422007
14,38,1.0325690093796758,"[0.5, 23.0]","[0.4, 10.5]",2,0.931789312,1.185121126
15,40,1.0387780959896609,"[0.4, 10.0]","[0.3, 17.0]",2,1.165237478,0.818360033
16,42,1.0453183431056592,"[0.5, 17.0]","[0.5, 16.0]",2,1.005214767,0.990288881
17,44,1.0428137683030563,"[0.4, 14.0]","[0.4, 22.0]",2,0.872659643,0.992675615
18,46,1.0322575905345996,"[0.4, 15.0]","[0.5, 4.0]",2,0.877716308,0.585614995
19,48,1.0314920839189803,"[0.3, 15.0]","[0.4, 24.0]",2,0.831380584,0.820628268
20,50,1.0186211435057084,"[0.5, 24.0]","[0.4, 23.0]",2,0.868125636,0.885849086
21,52,1.0168056204294984,"[0.5, 21.0]","[0.4, 5.0]",2,0.963054702,0.666902221
22,54,1.0182626126782013,"[0.4, 4.0]","[0.4, 21.0]",2,0.548787059,0.945190741
23,56,1.020394502751499,"[0.3, 21.0]","[0.5, -4.0]",2,0.734783003,-0.449135108
24,58,1.021029021015554,"[0.3, 10.0]","[0.3, 19.0]",2,1.147982101,0.755441901
25,60,1.0261303612581587,"[0.3, 18.0]","[0.4, -2.0]",2,0.777963047,-0.173819612
26,62,1.02624112239206,"[0.5, 13.0]","[0.3, -4.0]",2,1.011483864,-0.396386359
27,64,1.0251084280843459,"[0.4, -4.0]","[0.5, -3.0]",2,-0.420051337,-0.317782041
