x1,x2,y_high
0.5,-5.0,-0.578734863
0.3,-5.0,-0.511980104
0.3,14.0,0.852832283
0.5,12.5,0.983874736
0.4,13.0,0.882620313
0.5,10.0,0.91525402
0.4,25.0,0.842724139
0.4,2.0,0.309531693
0.4,20.0,0.76007148
0.4,-1.0,-0.052040221
0.3,13.0,1.013232094
0.3,25.0,0.80193202
0.3,7.5,0.916623669
0.5,25.0,0.915654725
0.3,5.0,0.645026967
0.5,2.0,0.328986225
0.3,2.0,0.301775352
0.5,19.0,0.975735314
0.4,19.0,0.764930404
0.4,-5.0,-0.542319417
0.4,17.0,0.78632808
0.3,20.0,0.753436191
0.5,20.0,0.969007281
0.4,7.5,0.951156265
0.5,7.5,0.956132048
0.3,-2.0,-0.159375677
0.5,6.0,0.831420068
0.5,-2.0,-0.186699566
0.5,5.0,0.714433748
0.3,22.0,0.738152106
0.3,23.0,0.766304183
0.3,10.5,1.187026738
0.3,24.0,0.796522275
0.3,9.5,1.108997973
0.3,9.0,1.066723703
0.5,22.0,0.947422007
0.5,23.0,0.931789312
0.4,10.5,1.185121126
0.4,10.0,1.165237478
0.3,17.0,0.818360033
0.5,17.0,1.005214767
0.5,16.0,0.990288881
0.4,14.0,0.872659643
0.4,22.0,0.992675615
0.4,15.0,0.877716308
0.5,4.0,0.585614995
0.3,15.0,0.831380584
0.4,24.0,0.820628268
0.5,24.0,0.868125636
0.4,23.0,0.885849086
0.5,21.0,0.963054702
0.4,5.0,0.666902221
0.4,4.0,0.548787059
0.4,21.0,0.945190741
0.3,21.0,0.734783003
0.5,-4.0,-0.449135108
0.3,10.0,1.147982101
0.3,19.0,0.755441901
0.3,18.0,0.777963047
0.4,-2.0,-0.173819612
0.5,13.0,1.011483864
0.3,-4.0,-0.396386359
0.4,-4.0,-0.420051337
0.5,-3.0,-0.317782041
