x1,x2,y_high
0.5,25.0,-0.150657287
0.5,11.0,-0.042369983
0.4,11.0,0.01241724
0.3,11.0,0.00089073
0.5,11.5,-0.044312033
0.3,10.0,-0.001488323
0.4,-5.0,-0.019209494
0.4,2.0,-0.007198667
0.5,18.0,-0.097217262
0.4,-1.0,-0.010267882
0.5,12.0,-0.033700851
0.3,25.0,-0.128762276
0.5,4.0,-0.003099566
0.3,-5.0,-0.018470784
0.5,1.0,-0.008512989
0.4,25.0,-0.13641613
0.5,-4.0,-0.018767247
0.5,-5.0,-0.023432284
0.4,-4.0,-0.016042449
0.4,19.0,-0.102624654
0.4,17.0,-0.115553264
0.3,19.0,-0.101514211
0.5,19.0,-0.106732562
0.3,2.0,-0.007052275
0.5,21.0,-0.123369414
0.3,6.0,-0.007271224
0.5,22.0,-0.1238153285
0.3,15.0,-0.072783026
0.4,15.0,-0.134987851
0.4,7.0,-0.003111922
0.4,14.0,-0.060446596
0.3,-2.0,-0.01170929
0.4,13.0,-0.054596217
0.4,4.0,-0.006614894
0.4,12.5,-0.044198688
0.5,24.0,-0.128681442
0.4,9.5,0.008964289
0.3,-4.0,-0.015806739
0.4,9.0,0.006763818
0.3,22.0,-0.11275952
0.4,22.0,-0.117061039
0.5,7.0,0.012823678
0.4,23.0,-0.126148808
0.5,15.0,-0.104024003
0.5,14.5,-0.104960013
0.3,-3.0,-0.01321337
0.5,14.0,-0.117007266
0.3,24.0,-0.126849779
0.4,24.0,-0.115228103
0.3,23.0,-0.119402359
0.5,23.0,-0.124261243
0.4,-3.0,-0.01363312
0.4,21.0,-0.112568492
0.3,21.0,-0.121909293
0.3,20.0,-0.100011986
0.5,-3.0,-0.015593719
0.3,17.0,-0.127965053
0.4,20.0,-0.099268128
0.5,17.0,-0.096462961
0.5,-2.0,-0.013328415
0.5,16.0,-0.108419774
0.4,-2.0,-0.011776591
0.5,20.0,-0.119855983
0.5,9.0,0.010842161
