iteration,current_high_count,rho,point_diff,point_uncertainty,requested_point_count,actual_y_diff,actual_y_uncertainty
1,12,0.8845625278757253,"[0.4, 10.5]","[0.3, 25.0]",2,1.16728698,0.895043106
2,14,0.9257811488482728,"[0.4, 7.5]","[0.3, 4.0]",2,0.94365644,0.529588648
3,16,0.9514334226584072,"[0.4, -4.0]","[0.5, 25.0]",2,-0.419518762,1.018855274
4,18,0.9613619009494987,"[0.4, -5.0]","[0.3, 20.0]",2,-0.540949403,0.789530171
5,20,0.9688771782723493,"[0.5, 20.0]","[0.5, -1.0]",2,1.029175599,-0.056120753
6,22,0.9722655548007653,"[0.5, 1.0]","[0.3, 9.0]",2,0.201244697,1.053886737
7,24,0.9877475423470301,"[0.4, 9.0]","[0.3, -1.0]",2,1.080717461,-0.043447673
8,26,1.0016321587454566,"[0.4, 5.0]","[0.3, 17.0]",2,0.664842441,0.845744459
9,28,1.0075688428504657,"[0.3, 5.0]","[0.5, 6.0]",2,0.642989483,0.827610549
10,30,1.0203149471507134,"[0.4, 6.0]","[0.3, 22.0]",2,0.779029417,0.808835332
11,32,1.0259737230502743,"[0.4, 0.0]","[0.5, 16.0]",2,0.067470386,1.015334172
12,34,1.0249106223152715,"[0.4, 16.0]","[0.4, 17.0]",2,0.884553405,0.813698983
13,36,1.0248900364625633,"[0.4, 18.0]","[0.5, 24.0]",2,0.7924923,0.952985227
14,38,1.0228777524447292,"[0.4, 22.0]","[0.4, 24.0]",2,1.06342363,0.896245406
15,40,1.0222536370056177,"[0.5, 22.0]","[0.3, 11.5]",2,1.0198813745,1.201447795
16,42,1.0264891650619168,"[0.4, 11.5]","[0.5, -4.0]",2,1.152045246,-0.448540713
17,44,1.0302838663377432,"[0.5, 11.5]","[0.3, -4.0]",2,0.897465631,-0.395892223
18,46,1.0252510738666165,"[0.5, 8.0]","[0.5, 3.0]",2,0.964507015,0.457423705
19,48,1.030865447334771,"[0.3, 24.0]","[0.3, 23.0]",2,0.882173978,0.843410344
20,50,1.0302167044594808,"[0.4, 23.0]","[0.5, 23.0]",2,0.964822179,1.009665836
21,52,1.0281378177098535,"[0.5, 18.0]","[0.3, 1.0]",2,0.993323633,0.185110042
22,54,1.027326646931082,"[0.3, 18.0]","[0.4, 21.0]",2,0.806102642,1.002327327
23,56,1.0277418052232694,"[0.3, 19.0]","[0.5, -3.0]",2,0.786858485,-0.317689322
24,58,1.0280081352775428,"[0.4, 19.0]","[0.3, 21.0]",2,0.799035671,0.80111078
25,60,1.0278050964479308,"[0.5, 19.0]","[0.4, -3.0]",2,1.021601547,-0.296383018
26,62,1.0280106537852507,"[0.4, -2.0]","[0.3, -3.0]",2,-0.173919304,-0.278369299
27,64,1.028433707003623,"[0.5, 14.0]","[0.5, 9.0]",2,0.936282921,0.9460486
