x1,x2,y_high
0.5,-5.0,-0.577247028
0.3,-5.0,-0.510707033
0.3,14.0,0.854518486
0.4,14.0,0.878569711
0.5,12.5,0.986589704
0.4,13.0,0.882682001
0.5,10.0,0.911999272
0.4,25.0,0.939280831
0.4,2.0,0.309527983
0.4,20.0,0.798476517
0.4,10.5,1.16728698
0.3,25.0,0.895043106
0.4,7.5,0.94365644
0.3,4.0,0.529588648
0.4,-4.0,-0.419518762
0.5,25.0,1.018855274
0.4,-5.0,-0.540949403
0.3,20.0,0.789530171
0.5,20.0,1.029175599
0.5,-1.0,-0.056120753
0.5,1.0,0.201244697
0.3,9.0,1.053886737
0.4,9.0,1.080717461
0.3,-1.0,-0.043447673
0.4,5.0,0.664842441
0.3,17.0,0.845744459
0.3,5.0,0.642989483
0.5,6.0,0.827610549
0.4,6.0,0.779029417
0.3,22.0,0.808835332
0.4,0.0,0.067470386
0.5,16.0,1.015334172
0.4,16.0,0.884553405
0.4,17.0,0.813698983
0.4,18.0,0.7924923
0.5,24.0,0.952985227
0.4,22.0,1.06342363
0.4,24.0,0.896245406
0.5,22.0,1.0198813745
0.3,11.5,1.201447795
0.4,11.5,1.152045246
0.5,-4.0,-0.448540713
0.5,11.5,0.897465631
0.3,-4.0,-0.395892223
0.5,8.0,0.964507015
0.5,3.0,0.457423705
0.3,24.0,0.882173978
0.3,23.0,0.843410344
0.4,23.0,0.964822179
0.5,23.0,1.009665836
0.5,18.0,0.993323633
0.3,1.0,0.185110042
0.3,18.0,0.806102642
0.4,21.0,1.002327327
0.3,19.0,0.786858485
0.5,-3.0,-0.317689322
0.4,19.0,0.799035671
0.3,21.0,0.80111078
0.5,19.0,1.021601547
0.4,-3.0,-0.296383018
0.4,-2.0,-0.173919304
0.3,-3.0,-0.278369299
0.5,14.0,0.936282921
0.5,9.0,0.9460486
